"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Intendono proseguire gli studi (%)";"73,9";"61,1";"66,2";"49,5";"74,1";"84,3";"75,1";"84,0";"73,2";"98,3";"80,4";"70,5";"70,0"
"Laurea triennale";"0,8";"0,7";"1,2";"-";"0,5";"0,9";"0,5";"1,1";"-";"-";"1,0";"0,8";"-"
"Laurea specialistica/magistrale";"23,7";"22,1";"22,0";"4,9";"14,2";"17,9";"19,1";"31,6";"3,7";"96,6";"29,4";"34,8";"16,0"
"Dottorato di ricerca";"5,5";"4,0";"3,9";"8,2";"3,3";"12,4";"5,1";"1,6";"6,1";"-";"3,4";"11,8";"4,5"
"Scuola di specializzazione post-laurea";"13,0";"2,7";"2,2";"8,8";"11,3";"28,1";"15,3";"37,0";"41,5";"-";"15,9";"7,6";"5,6"
"Master universitario";"11,7";"14,8";"14,0";"9,3";"10,7";"12,2";"15,7";"5,6";"6,1";"1,7";"13,7";"5,3";"22,6"
"Altro tipo di master o corso di perfezionamento";"5,6";"3,4";"7,5";"9,3";"4,6";"5,0";"8,5";"1,9";"1,2";"-";"5,4";"3,8";"10,5"
"Tirocinio, praticantato";"7,5";"3,4";"8,6";"2,7";"25,8";"0,9";"2,7";"2,1";"11,0";"-";"3,9";"1,2";"4,2"
"Attività sostenuta da borsa o assegno di studio";"2,0";"3,4";"2,6";"1,1";"1,3";"3,5";"4,4";"0,3";"1,2";"-";"1,2";"2,0";"2,4"
"Altre attività di qualificazione professionale";"3,8";"6,7";"3,7";"4,4";"2,0";"3,5";"3,9";"2,4";"2,4";"-";"6,1";"2,9";"4,2"
"Non intendono proseguire";"25,2";"38,9";"33,0";"50,5";"24,7";"14,8";"24,7";"13,0";"25,6";"1,7";"18,9";"28,9";"29,3"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Assistenza tecnica";"16,8";"57,0";"19,7";"15,9";"17,8";"8,1";"12,1";"12,0";"20,7";"15,5";"6,6";"28,9";"15,3"
"Controllo di gestione";"35,4";"48,3";"69,7";"23,1";"41,7";"18,5";"18,4";"16,5";"24,4";"24,1";"22,2";"28,0";"50,9"
"Finanza";"23,6";"14,8";"64,2";"3,8";"33,0";"5,9";"8,0";"7,2";"13,4";"12,1";"5,5";"17,8";"34,5"
"Legale";"24,6";"13,4";"22,7";"4,4";"86,9";"6,8";"7,0";"9,3";"12,2";"6,9";"7,6";"9,0";"30,0"
"Marketing, comunicazione, pubbliche relazioni";"51,0";"40,3";"72,0";"44,0";"58,0";"55,3";"66,6";"13,8";"19,5";"24,1";"49,7";"28,3";"68,3"
"Organizzazione, pianificazione";"53,0";"51,0";"71,8";"41,2";"60,0";"54,7";"56,7";"21,8";"25,6";"24,1";"51,4";"36,9";"71,4"
"Produzione";"29,6";"59,1";"37,5";"51,1";"31,1";"20,0";"23,5";"13,3";"36,6";"46,6";"19,4";"36,0";"30,3"
"Ricerca e sviluppo";"60,0";"73,8";"54,2";"79,1";"47,1";"65,1";"63,0";"42,8";"70,7";"91,4";"59,8";"78,6";"52,6"
"Risorse umane, selezione, formazione";"59,0";"37,6";"56,4";"45,1";"54,2";"72,8";"67,1";"35,9";"36,6";"36,2";"81,8";"40,3";"72,8"
"Sistemi informativi, EDP";"17,6";"16,1";"20,9";"10,4";"15,6";"12,4";"13,6";"9,3";"9,8";"10,3";"9,5";"40,2";"15,0"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Acquisizione di professionalità";"84,4";"87,2";"84,2";"88,5";"83,7";"80,4";"81,8";"91,0";"89,0";"82,8";"85,3";"83,6";"82,6"
"Possibilità di carriera";"67,7";"63,8";"76,4";"69,8";"77,4";"51,9";"59,8";"68,6";"65,9";"63,8";"63,9";"62,9";"70,7"
"Possibilità di guadagno";"61,8";"52,3";"65,7";"67,6";"66,3";"51,4";"61,3";"64,4";"73,2";"58,6";"60,4";"59,7";"56,8"
"Stabilità/sicurezza del posto di lavoro";"69,2";"57,7";"61,8";"72,5";"69,1";"70,2";"72,6";"75,3";"65,9";"69,0";"73,0";"70,5";"66,6"
"Rispondenza a interessi culturali";"42,3";"42,3";"32,3";"48,4";"38,4";"63,2";"47,9";"57,7";"50,0";"37,9";"42,9";"38,3";"32,4"
"Coerenza con gli studi";"49,8";"47,7";"42,2";"63,7";"43,4";"48,6";"46,2";"83,8";"63,4";"63,8";"50,9";"52,7";"32,8"
"Indipendenza o autonomia";"46,6";"47,0";"42,5";"55,5";"50,3";"43,4";"38,5";"58,5";"56,1";"32,8";"47,9";"45,7";"40,8"
"Tempo libero";"23,6";"23,5";"21,0";"25,3";"21,8";"21,6";"22,5";"39,9";"31,7";"15,5";"24,1";"25,0";"15,3"
"Tipo di lavoro cercato (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Nessuna preferenza";"51,1";"53,0";"44,9";"56,6";"47,4";"60,8";"58,4";"46,0";"63,4";"58,6";"49,4";"56,8";"48,4"
"Alle dipendenze nel settore pubblico";"23,1";"12,8";"12,7";"6,0";"21,8";"28,3";"21,5";"41,2";"15,9";"8,6";"33,7";"16,6";"32,1"
"Alle dipendenze nel settore privato";"16,4";"18,1";"30,5";"28,0";"11,4";"7,4";"15,0";"5,3";"9,8";"32,8";"12,0";"19,3";"15,0"
"In conto proprio";"8,1";"15,4";"10,8";"9,3";"18,2";"2,0";"4,1";"4,3";"9,8";"-";"4,1";"6,2";"2,8"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"ORARIO/MODALITA' LAVORATIVA";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Part-time";"27,8";"29,5";"26,0";"27,5";"25,5";"34,2";"32,7";"26,9";"24,4";"46,6";"26,0";"28,9";"26,8"
"Telelavoro";"13,6";"16,1";"13,8";"6,6";"14,9";"13,3";"15,3";"13,0";"20,7";"22,4";"8,7";"19,6";"9,8"
"CONTRATTO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Tempo indeterminato";"90,1";"87,2";"91,1";"91,2";"92,4";"89,1";"85,0";"89,9";"91,5";"89,7";"87,9";"91,4";"94,1"
"A tempo determinato";"26,0";"35,6";"26,8";"22,5";"23,5";"26,8";"27,4";"30,6";"29,3";"46,6";"19,7";"31,8";"24,0"
"Collaborazione (compreso lavoro a progetto)";"29,2";"54,4";"30,1";"24,7";"32,9";"26,6";"23,7";"27,9";"31,7";"44,8";"19,8";"37,7";"26,8"
"Inserimento (ex formazione e lavoro)";"27,6";"35,6";"28,8";"25,8";"27,0";"28,8";"27,4";"27,9";"23,2";"46,6";"21,2";"34,5";"25,1"
"Stage";"26,8";"32,2";"29,2";"30,8";"31,1";"28,5";"29,5";"23,4";"31,7";"44,8";"16,3";"29,4";"25,8"
"Apprendistato";"20,1";"24,8";"20,6";"20,9";"22,8";"23,3";"21,1";"17,3";"28,0";"36,2";"12,3";"24,2";"17,8"
"Lavoro interinale";"17,5";"26,2";"17,5";"14,3";"18,3";"18,7";"16,7";"19,1";"24,4";"39,7";"11,8";"21,0";"16,4"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Provincia di residenza";"74,6";"76,5";"73,0";"73,1";"76,3";"73,6";"63,9";"78,5";"70,7";"74,1";"77,9";"75,8";"70,0"
"Sede degli studi";"72,3";"62,4";"71,5";"67,6";"76,0";"73,9";"63,2";"71,5";"62,2";"75,9";"74,9";"74,5";"66,6"
"Italia settentrionale";"35,4";"36,9";"40,9";"34,6";"38,2";"32,9";"31,0";"29,5";"43,9";"56,9";"26,8";"42,9";"31,7"
"Italia centrale";"39,9";"40,3";"43,1";"44,0";"42,8";"38,6";"36,6";"33,2";"42,7";"63,8";"31,2";"48,7";"34,8"
"Italia meridionale";"44,5";"50,3";"43,3";"50,0";"46,0";"41,2";"40,0";"46,8";"58,5";"62,1";"39,0";"50,1";"44,6"
"Stato europeo";"34,8";"46,3";"37,9";"35,7";"37,0";"31,2";"50,1";"28,2";"36,6";"63,8";"21,7";"39,4";"36,9"
"Stato extraeuropeo";"21,0";"29,5";"21,6";"20,9";"23,4";"20,3";"25,7";"17,0";"29,3";"50,0";"11,1";"26,7";"21,3"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"41,6";"45,0";"45,3";"39,0";"44,0";"42,5";"41,4";"35,1";"51,2";"53,4";"33,1";"46,6";"42,5"
"Sì, anche frequenti (senza cambi di residenza)";"31,6";"34,2";"33,7";"36,3";"31,0";"30,3";"34,4";"27,9";"29,3";"29,3";"30,7";"31,6";"30,0"
"Sì, ma solo in numero limitato";"21,8";"15,4";"16,9";"20,3";"20,2";"21,1";"21,1";"25,0";"15,9";"17,2";"30,9";"18,4";"22,6"
"Non disponibili a trasferte";"3,1";"4,0";"2,1";"2,7";"2,6";"4,6";"1,9";"6,6";"1,2";"-";"4,1";"1,7";"3,1"
