"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia e finanza (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Mesi impiegati per la tesi/prova finale (medie)";"4,6";"5,0";"3,1";"5,1";"5,6";"2,4";"3,2";"5,0";"4,0";"5,3";"4,7";"4,6";"4,6";"5,9";"7,0";"3,0";"3,9";"4,7";"5,0";"2,8";"3,4";"6,0"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia e finanza (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Hanno esperienze di lavoro (%) ";"61,2";"64,9";"47,8";"40,4";"50,8";"62,1";"65,7";"55,6";"53,3";"60,9";"54,8";"66,9";"58,3";"48,0";"55,9";"71,4";"64,3";"71,1";"64,8";"70,8";"69,5";"61,3"
"Lavoratori-studenti";"6,1";"4,8";"0,7";"1,9";"1,6";"4,5";"7,5";"0,4";"-";"5,7";"3,5";"22,2";"-";"3,0";"2,2";"1,3";"4,2";"8,9";"1,9";"6,6";"9,1";"4,6"
"Altre esperienze di lavoro con continuità a tempo pieno";"2,9";"2,5";"2,9";"0,6";"1,6";"3,4";"3,0";"1,7";"2,7";"2,3";"5,7";"8,3";"-";"1,9";"1,1";"2,6";"1,2";"2,7";"-";"3,6";"2,7";"4,2"
"Lavoro a tempo parziale";"16,4";"20,3";"9,6";"10,3";"14,8";"13,8";"19,6";"14,5";"8,0";"15,8";"14,3";"13,4";"22,9";"9,5";"15,1";"19,5";"19,0";"24,1";"14,8";"13,9";"16,7";"13,9"
"Lavoro occasionale, saltuario, stagionale";"35,9";"37,3";"34,6";"27,6";"32,8";"40,3";"35,5";"38,9";"42,7";"37,0";"31,3";"23,0";"35,4";"33,6";"37,6";"48,1";"39,9";"35,4";"48,1";"46,7";"40,9";"38,7"
"Nessuna esperienza di lavoro";"38,6";"35,0";"52,2";"59,6";"49,2";"37,6";"34,1";"44,4";"46,7";"38,5";"45,2";"32,8";"41,7";"51,8";"43,0";"28,6";"35,7";"28,8";"35,2";"29,2";"30,5";"38,7"
"Lavoro coerente con gli studi";"15,4";"18,8";"4,4";"3,2";"6,6";"10,7";"15,4";"7,7";"13,3";"6,5";"18,3";"25,1";"39,6";"12,3";"11,8";"26,0";"14,9";"25,9";"9,3";"13,9";"11,8";"10,5"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia e finanza (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"34,7";"29,5";"36,0";"43,6";"49,2";"26,9";"31,7";"41,9";"48,0";"37,4";"40,9";"45,2";"35,4";"25,9";"23,7";"33,8";"43,5";"40,6";"37,0";"24,8";"40,1";"35,7"
"Più sì che no";"50,7";"51,0";"55,9";"48,7";"44,3";"57,2";"53,2";"42,7";"36,0";"50,2";"50,0";"43,4";"56,3";"53,6";"61,3";"53,2";"48,8";"48,0";"50,0";"56,2";"50,2";"48,7"
"Più no che sì";"12,3";"16,7";"6,6";"5,8";"6,6";"14,8";"12,5";"13,2";"13,3";"9,4";"8,3";"9,0";"6,3";"16,8";"14,0";"10,4";"7,1";"10,4";"13,0";"14,6";"8,1";"12,6"
"Decisamente no";"2,0";"2,5";"1,5";"1,9";"-";"1,0";"2,2";"2,1";"2,7";"3,1";"0,9";"1,8";"2,1";"3,2";"1,1";"1,3";"-";"0,7";"-";"3,6";"1,2";"2,1"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"21,7";"23,2";"20,6";"34,0";"24,6";"13,4";"16,4";"18,4";"32,0";"17,4";"25,7";"37,2";"22,9";"15,5";"22,6";"27,3";"26,8";"24,1";"33,3";"15,3";"21,7";"28,6"
"Più sì che no";"59,0";"60,2";"68,4";"59,6";"67,2";"53,1";"56,8";"60,3";"54,7";"56,9";"60,9";"49,6";"64,6";"57,9";"57,0";"63,6";"61,9";"62,3";"61,1";"54,7";"65,8";"57,6"
"Più no che sì";"16,9";"14,3";"8,8";"4,5";"8,2";"31,7";"22,8";"18,8";"12,0";"21,2";"11,7";"11,1";"12,5";"23,7";"19,4";"7,8";"8,9";"12,3";"5,6";"27,0";"11,1";"13,0"
"Decisamente no";"1,8";"1,6";"1,5";"1,9";"-";"1,0";"3,3";"1,3";"1,3";"3,6";"1,3";"1,6";"-";"2,5";"1,1";"-";"1,2";"0,9";"-";"2,9";"1,2";"0,4"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"54,1";"52,2";"56,6";"59,0";"67,2";"49,0";"52,4";"53,8";"69,3";"43,3";"61,3";"60,5";"47,9";"53,5";"50,5";"50,6";"56,0";"57,6";"59,3";"53,3";"58,1";"53,4"
"Più sì che no";"38,6";"38,3";"40,4";"35,9";"31,1";"46,2";"39,6";"38,5";"26,7";"48,1";"31,7";"33,9";"43,8";"39,5";"38,7";"33,8";"37,5";"35,5";"40,7";"40,9";"37,4";"35,3"
"Più no che sì";"5,5";"7,2";"2,9";"5,1";"1,6";"3,8";"6,1";"5,6";"2,7";"5,9";"4,3";"3,6";"6,3";"6,0";"10,8";"13,0";"3,6";"5,2";"-";"2,9";"2,5";"8,8"
"Decisamente no";"1,3";"1,4";"-";"-";"-";"0,7";"1,6";"1,3";"1,3";"2,1";"2,2";"1,3";"2,1";"0,6";"-";"1,3";"2,4";"1,3";"-";"2,2";"1,5";"2,1"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"11,3";"5,9";"15,4";"20,5";"26,2";"5,2";"5,8";"15,0";"38,7";"9,7";"23,5";"29,7";"25,0";"13,7";"20,4";"6,5";"7,1";"6,0";"22,2";"4,4";"8,4";"7,6"
"Spesso adeguate";"35,5";"26,3";"41,9";"43,6";"52,5";"29,3";"30,0";"50,0";"40,0";"38,0";"46,5";"45,2";"58,3";"36,0";"58,1";"58,4";"43,5";"22,7";"48,1";"31,4";"44,8";"38,2"
"Raramente adeguate";"42,1";"52,5";"37,5";"33,3";"18,0";"50,7";"50,9";"31,6";"20,0";"44,3";"26,5";"20,2";"14,6";"39,3";"17,2";"31,2";"43,5";"51,7";"22,2";"54,0";"36,7";"42,9"
"Mai adeguate";"9,9";"14,0";"4,4";"1,3";"3,3";"14,5";"12,4";"3,4";"1,3";"5,9";"3,5";"4,4";"-";"9,9";"2,2";"2,6";"5,4";"17,7";"5,6";"10,2";"8,1";"10,5"
"Non utilizzate";"0,8";"0,7";"-";"1,3";"-";"0,3";"0,7";"-";"-";"1,5";"-";"0,3";"2,1";"0,6";"2,2";"1,3";"-";"1,6";"-";"-";"1,5";"0,4"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Presenti e in numero adeguato";"16,1";"11,0";"22,8";"32,1";"23,0";"12,1";"7,2";"21,4";"38,7";"16,2";"47,0";"40,3";"62,5";"8,8";"48,4";"18,2";"18,5";"8,1";"33,3";"14,6";"9,9";"14,7"
"Presenti, ma in numero inadeguato";"42,8";"59,1";"34,6";"39,1";"44,3";"60,3";"31,8";"60,3";"41,3";"49,4";"46,5";"37,5";"33,3";"35,9";"41,9";"59,7";"58,9";"31,5";"38,9";"56,2";"28,8";"45,8"
"Non presenti";"20,9";"12,8";"18,4";"18,6";"19,7";"12,1";"24,3";"8,1";"16,0";"13,0";"4,3";"6,2";"2,1";"38,9";"1,1";"6,5";"7,7";"36,3";"11,1";"10,9";"22,9";"20,6"
"Non utilizzate";"19,8";"16,4";"24,3";"9,6";"13,1";"15,5";"36,2";"10,3";"4,0";"20,4";"1,7";"15,5";"2,1";"15,9";"8,6";"15,6";"14,9";"23,5";"14,8";"17,5";"37,7";"18,5"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente positiva";"19,0";"24,8";"20,6";"12,8";"9,8";"12,1";"10,3";"35,0";"28,0";"19,1";"20,0";"26,6";"27,1";"12,4";"32,3";"33,8";"21,4";"17,5";"37,0";"16,1";"16,3";"28,6"
"Abbastanza positiva";"52,0";"57,5";"52,9";"54,5";"36,1";"57,2";"53,8";"52,1";"42,7";"54,6";"37,4";"46,5";"52,1";"41,2";"59,1";"48,1";"58,9";"56,8";"42,6";"54,7";"56,4";"56,3"
"Abbastanza negativa";"9,7";"9,6";"7,4";"5,1";"19,7";"10,7";"12,5";"6,4";"10,7";"12,8";"6,5";"10,3";"10,4";"13,2";"5,4";"6,5";"3,0";"8,1";"5,6";"6,6";"5,9";"6,3"
"Decisamente negativa";"4,8";"2,5";"4,4";"4,5";"16,4";"4,1";"6,1";"2,6";"2,7";"5,9";"3,0";"4,4";"2,1";"9,7";"-";"2,6";"1,8";"1,9";"5,6";"5,8";"4,4";"4,6"
"Non utilizzate";"13,8";"4,9";"14,0";"21,2";"18,0";"15,9";"16,8";"3,8";"14,7";"6,1";"33,0";"11,6";"8,3";"22,4";"3,2";"9,1";"14,3";"14,6";"7,4";"16,8";"16,5";"3,4"
"Valutazione delle attrezzature per le altre attività didattiche (laboratori, attività pratiche, …) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"9,5";"6,5";"15,4";"19,2";"19,7";"4,5";"3,9";"16,7";"18,7";"5,5";"26,5";"25,6";"22,9";"9,0";"19,4";"10,4";"13,1";"4,6";"24,1";"3,6";"5,7";"7,1"
"Spesso adeguate";"26,9";"25,2";"41,9";"49,4";"50,8";"17,2";"13,9";"49,6";"52,0";"21,6";"40,9";"30,7";"45,8";"29,1";"46,2";"41,6";"36,3";"20,0";"38,9";"18,2";"21,4";"23,1"
"Raramente adeguate";"33,5";"42,4";"36,8";"25,0";"24,6";"33,1";"33,6";"29,9";"24,0";"25,4";"25,2";"23,0";"16,7";"39,4";"31,2";"36,4";"35,1";"35,3";"25,9";"37,2";"26,4";"34,9"
"Mai adeguate";"11,6";"9,9";"5,1";"4,5";"4,9";"19,0";"15,4";"3,0";"1,3";"13,4";"5,2";"5,9";"2,1";"13,6";"2,2";"6,5";"11,9";"17,4";"1,9";"16,1";"7,6";"13,9"
"Non utilizzate";"17,8";"15,3";"0,7";"0,6";"-";"26,2";"32,5";"0,4";"4,0";"33,0";"2,2";"14,0";"12,5";"8,1";"1,1";"5,2";"3,6";"21,9";"7,4";"24,8";"37,7";"20,6"
"Valutazione degli spazi dedicati allo studio individuale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Presenti e adeguati";"31,6";"33,9";"39,7";"27,6";"27,9";"29,3";"24,5";"26,5";"45,3";"34,4";"33,0";"42,9";"45,8";"22,1";"40,9";"37,7";"38,1";"35,9";"44,4";"26,3";"34,5";"30,3"
"Presenti, ma inadeguati";"36,2";"31,7";"23,5";"23,1";"49,2";"47,2";"43,8";"52,1";"29,3";"43,5";"53,0";"37,5";"33,3";"33,6";"26,9";"32,5";"35,7";"22,8";"46,3";"47,4";"41,9";"29,4"
"Non presenti";"15,3";"16,9";"18,4";"19,9";"16,4";"11,7";"17,1";"13,2";"14,7";"8,2";"7,0";"9,6";"6,3";"26,0";"17,2";"13,0";"10,1";"14,9";"3,7";"16,1";"3,9";"18,1"
"Non utilizzati";"16,1";"16,4";"18,4";"28,2";"6,6";"11,7";"13,8";"8,1";"10,7";"13,0";"6,5";"9,6";"14,6";"17,1";"14,0";"15,6";"16,1";"25,5";"3,7";"10,2";"18,7";"21,8"
"Il carico di studio degli insegnamenti è stato adeguato alla durata del corso di studio? (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"27,5";"21,7";"34,6";"26,9";"13,1";"20,7";"30,0";"26,9";"16,0";"28,1";"38,7";"45,0";"29,2";"20,2";"24,7";"36,4";"31,0";"30,8";"33,3";"16,1";"30,5";"31,1"
"Più sì che no";"48,8";"52,1";"50,7";"43,6";"45,9";"53,1";"49,5";"40,6";"40,0";"47,1";"40,9";"41,3";"50,0";"46,4";"33,3";"40,3";"57,1";"57,9";"44,4";"56,2";"46,1";"47,5"
"Più no che sì";"18,9";"21,3";"9,6";"23,7";"31,1";"23,1";"17,0";"27,8";"33,3";"17,9";"18,3";"9,6";"20,8";"26,1";"29,0";"20,8";"8,9";"9,4";"13,0";"21,9";"19,2";"18,1"
"Decisamente no";"4,0";"4,0";"5,1";"5,8";"9,8";"3,1";"3,0";"4,7";"10,7";"5,2";"1,7";"3,9";"-";"6,5";"10,8";"2,6";"2,4";"1,3";"5,6";"5,8";"2,7";"2,1"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, allo stesso corso dell'Ateneo";"57,1";"46,1";"63,2";"70,5";"68,9";"59,3";"56,4";"55,6";"64,0";"59,5";"72,6";"64,6";"83,3";"46,0";"46,2";"68,8";"67,3";"63,4";"70,4";"54,7";"60,6";"58,4"
"Sì, ma ad un altro corso dell'Ateneo";"6,7";"7,5";"8,8";"4,5";"6,6";"5,2";"4,6";"10,3";"2,7";"8,0";"6,1";"6,5";"-";"4,6";"7,5";"10,4";"7,1";"8,6";"13,0";"6,6";"9,4";"5,5"
"Sì, allo stesso corso ma in un altro Ateneo";"25,4";"30,7";"19,1";"14,1";"19,7";"27,6";"29,5";"20,5";"29,3";"21,9";"11,7";"11,9";"14,6";"42,8";"30,1";"13,0";"19,6";"17,6";"7,4";"26,3";"20,4";"18,1"
"Sì, ma ad un altro corso e in un altro Ateneo";"7,0";"10,9";"5,9";"5,8";"1,6";"5,9";"6,3";"11,5";"4,0";"8,2";"4,8";"10,1";"-";"4,2";"6,5";"1,3";"1,2";"7,2";"7,4";"10,2";"6,7";"8,0"
"Non si iscriverebbero più all'università";"3,3";"4,3";"2,9";"3,2";"3,3";"1,7";"2,8";"2,1";"-";"2,1";"4,8";"6,2";"2,1";"1,6";"8,6";"5,2";"4,8";"3,0";"1,9";"2,2";"2,7";"9,2"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia e finanza (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Lingue straniere: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Inglese scritto";"73,9";"87,6";"76,5";"74,4";"90,2";"71,4";"73,7";"76,9";"80,0";"69,7";"84,3";"65,4";"77,1";"71,6";"74,2";"64,9";"60,1";"71,5";"66,7";"75,9";"67,5";"67,2"
"Inglese parlato";"68,7";"84,8";"68,4";"60,9";"88,5";"67,6";"68,9";"72,2";"74,7";"66,6";"71,7";"59,9";"60,4";"65,7";"69,9";"55,8";"58,9";"65,5";"63,0";"70,8";"63,1";"64,3"
"Francese scritto";"19,8";"41,7";"15,4";"9,0";"6,6";"19,0";"18,3";"10,3";"5,3";"17,4";"3,9";"18,9";"2,1";"13,0";"8,6";"7,8";"11,3";"21,1";"7,4";"19,7";"28,8";"19,3"
"Francese parlato";"20,1";"42,9";"11,8";"7,1";"6,6";"20,3";"18,8";"12,4";"6,7";"19,1";"3,5";"19,6";"2,1";"11,8";"9,7";"7,8";"11,3";"21,1";"5,6";"18,2";"30,3";"18,9"
"Spagnolo scritto";"10,8";"30,4";"3,7";"3,8";"3,3";"13,1";"11,6";"4,3";"1,3";"6,1";"1,7";"6,2";"2,1";"8,3";"7,5";"2,6";"3,0";"8,7";"1,9";"16,1";"9,4";"7,6"
"Spagnolo parlato";"11,5";"31,6";"2,9";"5,1";"3,3";"12,1";"12,4";"5,1";"2,7";"7,8";"0,9";"6,7";"6,3";"8,6";"7,5";"3,9";"3,0";"9,5";"1,9";"16,8";"9,6";"8,0"
"Tedesco scritto";"3,7";"16,9";"1,5";"1,3";"1,6";"2,1";"2,5";"0,9";"2,7";"0,4";"-";"1,3";"-";"1,4";"-";"-";"1,8";"0,9";"-";"10,2";"2,2";"3,4"
"Tedesco parlato";"3,5";"15,8";"1,5";"1,3";"1,6";"2,4";"1,8";"0,9";"1,3";"0,6";"0,4";"1,0";"-";"1,4";"-";"-";"1,8";"1,0";"-";"9,5";"2,0";"4,2"
"Strumenti informatici: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Navigazione in Internet e comunicazione in rete";"89,8";"90,8";"85,3";"87,8";"88,5";"92,4";"90,7";"89,3";"89,3";"87,8";"98,3";"84,8";"87,5";"88,3";"88,2";"89,6";"92,3";"92,0";"87,0";"91,2";"89,7";"88,2"
"Word processor";"76,8";"75,4";"75,0";"79,5";"80,3";"73,1";"78,7";"79,1";"89,3";"77,5";"94,8";"74,7";"70,8";"73,7";"72,0";"74,0";"71,4";"78,1";"79,6";"78,1";"77,3";"72,3"
"Fogli elettronici";"65,2";"55,7";"69,1";"75,0";"86,9";"71,7";"73,6";"70,5";"92,0";"59,0";"88,3";"69,8";"62,5";"58,8";"67,7";"67,5";"66,1";"66,9";"79,6";"68,6";"60,6";"46,2"
"Strumenti di presentazione";"68,5";"63,0";"65,4";"76,9";"77,0";"73,1";"74,9";"73,1";"74,7";"57,3";"86,5";"64,1";"58,3";"67,3";"69,9";"67,5";"70,8";"72,2";"79,6";"68,6";"69,0";"53,8"
"Sistemi operativi";"72,1";"71,3";"66,9";"75,6";"73,8";"71,7";"76,8";"75,6";"78,7";"72,5";"92,6";"69,5";"64,6";"69,5";"68,8";"68,8";"68,5";"70,4";"81,5";"74,5";"70,9";"62,6"
"Multimedia";"52,4";"50,9";"49,3";"57,7";"39,3";"53,1";"53,0";"56,8";"36,0";"45,6";"62,2";"51,9";"27,1";"49,3";"51,6";"46,8";"53,6";"61,3";"59,3";"47,4";"57,1";"44,1"
"Linguaggi di programmazione";"17,2";"12,8";"14,0";"10,9";"13,1";"12,1";"12,4";"16,2";"46,7";"15,5";"95,2";"18,9";"35,4";"12,9";"16,1";"18,2";"10,7";"14,2";"7,4";"13,1";"18,7";"12,6"
"Data base";"21,1";"19,6";"17,6";"16,7";"14,8";"24,8";"18,3";"17,5";"12,0";"18,5";"90,0";"26,9";"2,1";"17,1";"16,1";"18,2";"13,7";"17,4";"37,0";"21,9";"20,2";"14,7"
"Realizzazione siti web";"14,5";"12,3";"13,2";"8,3";"11,5";"14,5";"13,6";"13,7";"9,3";"12,6";"70,0";"14,0";"4,2";"10,6";"9,7";"16,9";"11,3";"13,5";"16,7";"13,9";"14,0";"12,6"
"Reti di trasmissione dati";"16,1";"12,9";"16,2";"14,7";"19,7";"15,2";"14,5";"15,0";"6,7";"14,1";"53,9";"17,1";"2,1";"14,2";"11,8";"20,8";"11,3";"16,6";"13,0";"15,3";"21,9";"10,1"
"CAD/CAM/CAE - progettazione assistita";"8,4";"7,5";"8,1";"5,8";"8,2";"7,9";"6,7";"9,4";"9,3";"6,5";"8,3";"9,8";"-";"8,5";"7,5";"33,8";"8,3";"8,2";"13,0";"7,3";"11,1";"10,9"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia e finanza (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Intendono proseguire gli studi (%)";"67,2";"70,3";"83,1";"78,8";"68,9";"75,2";"57,2";"52,1";"85,3";"68,5";"50,9";"52,7";"68,8";"75,0";"65,6";"84,4";"54,8";"66,8";"72,2";"63,5";"67,7";"76,1"
"Laurea triennale";"0,7";"0,5";"0,7";"0,6";"-";"0,3";"0,3";"0,4";"-";"0,6";"0,9";"1,6";"-";"1,5";"-";"-";"-";"0,8";"-";"-";"0,2";"0,8"
"Laurea magistrale";"33,8";"47,8";"74,3";"30,8";"49,2";"61,4";"39,5";"1,3";"60,0";"2,5";"38,3";"24,0";"54,2";"13,8";"10,8";"74,0";"42,9";"35,9";"63,0";"47,4";"37,9";"52,1"
"Laurea magistrale a ciclo unico";"0,7";"0,5";"-";"-";"-";"0,7";"0,3";"1,7";"-";"2,3";"-";"0,3";"-";"0,9";"-";"-";"-";"1,3";"-";"0,7";"0,2";"0,4"
"Dottorato di ricerca";"3,7";"3,9";"1,5";"23,1";"13,1";"0,3";"1,2";"15,8";"22,7";"6,7";"2,2";"1,3";"12,5";"0,5";"4,3";"2,6";"1,2";"3,0";"7,4";"-";"1,0";"5,0"
"Diploma accademico (Alta Formazione Artistica e Musicale) ";"0,1";"0,7";"-";"-";"-";"-";"-";"-";"-";"-";"0,4";"-";"-";"-";"-";"-";"-";"0,2";"-";"-";"-";"-"
"Scuola di specializzazione post-laurea";"8,0";"2,2";"2,2";"3,8";"1,6";"3,1";"1,3";"5,6";"1,3";"11,1";"0,4";"3,1";"-";"26,8";"28,0";"1,3";"-";"7,8";"-";"0,7";"6,4";"5,0"
"Master universitario";"10,6";"7,4";"0,7";"13,5";"-";"5,2";"9,9";"17,1";"-";"12,2";"2,6";"7,8";"-";"22,7";"5,4";"3,9";"4,2";"8,8";"1,9";"9,5";"12,1";"7,1"
"Altro tipo di master o corso di perfezionamento";"3,5";"3,1";"0,7";"5,1";"3,3";"1,0";"2,1";"6,0";"-";"4,2";"2,2";"3,1";"2,1";"6,1";"3,2";"1,3";"3,0";"3,1";"-";"2,9";"4,4";"2,1"
"Tirocinio, praticantato";"3,7";"1,5";"0,7";"-";"1,6";"1,4";"1,4";"2,1";"1,3";"24,8";"0,9";"10,1";"-";"0,6";"10,8";"-";"1,8";"2,1";"-";"0,7";"1,5";"1,3"
"Attività sostenuta da borsa o assegno di studio";"0,2";"0,4";"0,7";"1,3";"-";"-";"0,1";"-";"-";"-";"0,4";"-";"-";"0,3";"-";"-";"-";"0,1";"-";"-";"-";"-"
"Altre attività di qualificazione professionale";"2,1";"1,9";"1,5";"0,6";"-";"1,4";"1,2";"2,1";"-";"4,2";"2,6";"1,3";"-";"1,5";"3,2";"1,3";"1,2";"3,4";"-";"1,5";"3,4";"2,1"
"Non intendono proseguire";"32,5";"29,7";"16,9";"21,2";"31,1";"24,8";"42,6";"47,9";"14,7";"30,7";"49,1";"46,0";"31,3";"24,5";"34,4";"15,6";"45,2";"33,0";"27,8";"35,8";"32,3";"23,9"
"10. PROSPETTIVE DI LAVORO"
