"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Hanno preparato all'estero una parte significativa della tesi (%)";"2,7";"6,1";"-";"5,8";"3,6";"7,6";"2,5";"1,5";"2,4";"-";"1,4";"1,9";"1,5";"0,9";"6,1";"-";"1,1";"4,1";"4,7";"2,5";"2,6";"1,5";"1,5"
"Hanno svolto tirocini/stage o lavoro riconosciuti dal corso di laurea (%)";"56,1";"59,3";"35,7";"84,3";"67,9";"87,7";"18,5";"47,7";"3,3";"63,4";"57,1";"3,8";"67,8";"77,1";"78,0";"76,5";"77,5";"85,7";"29,4";"7,4";"56,0";"56,4";"13,6"
"Tirocini organizzati dal corso e svolti presso l'università";"11,4";"4,4";"26,8";"63,9";"50,0";"8,1";"4,9";"27,7";"0,7";"49,8";"0,3";"-";"22,5";"45,0";"4,9";"16,0";"7,3";"20,4";"8,2";"0,4";"0,8";"0,2";"6,1"
"Tirocini organizzati dal corso e svolti al di fuori dell'università";"36,7";"44,3";"8,0";"16,8";"14,3";"75,4";"13,6";"13,8";"0,7";"8,0";"34,8";"-";"42,0";"24,8";"63,4";"53,8";"56,5";"46,9";"20,0";"4,9";"52,3";"42,3";"6,1"
"Attività di lavoro successivamente riconosciute dal corso";"6,5";"9,0";"-";"1,6";"3,6";"2,1";"-";"4,6";"1,8";"2,3";"21,3";"3,8";"1,3";"5,5";"7,3";"4,2";"12,0";"10,2";"1,2";"2,1";"1,8";"11,7";"-"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"42,8";"39,7";"63,4";"15,2";"30,4";"11,9";"81,5";"52,3";"94,9";"35,2";"41,9";"94,2";"30,3";"22,0";"22,0";"23,5";"21,8";"14,3";"70,6";"90,8";"43,0";"42,5";"84,8"
"Mesi impiegati per la tesi/prova finale (medie)";"5,1";"5,4";"3,2";"5,9";"6,9";"5,3";"5,8";"4,0";"6,0";"5,1";"4,6";"5,4";"6,3";"7,8";"4,4";"4,8";"5,2";"6,2";"6,8";"2,8";"4,0";"3,3";"6,3"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Hanno esperienze di lavoro (%) ";"60,0";"63,4";"47,3";"36,6";"50,0";"55,1";"67,9";"41,5";"61,4";"57,7";"70,6";"57,7";"44,0";"50,5";"74,4";"68,1";"65,4";"53,1";"58,8";"66,1";"67,9";"66,1";"60,6"
"Lavoratori-studenti";"6,3";"6,0";"0,9";"2,1";"3,6";"1,3";"8,6";"-";"5,7";"6,1";"24,7";"1,9";"2,3";"1,8";"6,1";"7,6";"9,2";"2,0";"3,5";"6,4";"6,7";"5,7";"3,0"
"Altre esperienze di lavoro con continuità a tempo pieno";"2,4";"2,5";"-";"1,0";"-";"1,3";"3,7";"-";"2,0";"2,3";"6,1";"3,8";"1,6";"0,9";"4,9";"3,4";"1,9";"4,1";"1,2";"1,8";"3,9";"2,6";"4,5"
"Lavoro a tempo parziale";"17,0";"18,0";"9,8";"2,6";"16,1";"14,8";"21,0";"7,7";"17,8";"13,6";"16,6";"19,2";"9,7";"16,5";"13,4";"23,5";"23,8";"12,2";"18,8";"18,4";"18,9";"20,4";"15,2"
"Lavoro occasionale, saltuario, stagionale";"34,3";"37,0";"36,6";"30,9";"30,4";"37,7";"34,6";"33,8";"35,9";"35,7";"23,3";"32,7";"30,4";"31,2";"50,0";"33,6";"30,6";"34,7";"35,3";"39,6";"38,3";"37,5";"37,9"
"Nessuna esperienza di lavoro";"39,5";"35,8";"52,7";"63,4";"50,0";"44,5";"32,1";"56,9";"38,3";"41,3";"27,0";"40,4";"55,3";"49,5";"25,6";"31,1";"34,5";"46,9";"41,2";"33,9";"32,1";"33,6";"39,4"
"Lavoro coerente con gli studi";"14,0";"16,4";"5,4";"3,1";"12,5";"5,5";"9,9";"6,2";"6,6";"14,6";"25,0";"25,0";"11,1";"15,6";"32,9";"12,6";"22,7";"6,1";"8,2";"11,3";"6,7";"16,9";"3,0"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"33,9";"26,7";"38,4";"40,8";"35,7";"41,9";"30,9";"52,3";"42,7";"37,1";"43,9";"32,7";"26,5";"32,1";"42,7";"45,4";"37,3";"34,7";"27,1";"25,1";"36,5";"27,5";"36,4"
"Più sì che no";"49,9";"48,9";"46,4";"50,8";"42,9";"46,6";"54,3";"38,5";"46,3";"50,7";"47,3";"46,2";"51,6";"42,2";"48,8";"45,4";"49,7";"46,9";"57,6";"53,0";"51,8";"55,7";"48,5"
"Più no che sì";"13,7";"21,4";"10,7";"6,3";"16,1";"10,2";"13,6";"7,7";"7,9";"9,9";"7,8";"15,4";"18,6";"22,9";"7,3";"6,7";"11,3";"12,2";"15,3";"17,7";"10,6";"14,5";"12,1"
"Decisamente no";"2,1";"2,8";"1,8";"1,0";"1,8";"1,3";"1,2";"1,5";"2,7";"1,9";"0,7";"5,8";"3,1";"1,8";"1,2";"-";"1,5";"6,1";"-";"3,9";"0,8";"1,8";"3,0"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"20,6";"21,8";"22,3";"30,4";"30,4";"18,2";"28,4";"35,4";"21,6";"24,4";"33,4";"21,2";"13,1";"25,7";"26,8";"31,1";"21,4";"36,7";"16,5";"10,2";"22,0";"12,1";"24,2"
"Più sì che no";"58,2";"55,8";"62,5";"62,8";"55,4";"62,7";"58,0";"52,3";"53,5";"57,7";"57,1";"61,5";"54,6";"54,1";"59,8";"63,0";"63,5";"59,2";"61,2";"55,5";"57,8";"60,9";"53,0"
"Più no che sì";"18,2";"20,4";"13,4";"5,8";"8,9";"16,5";"13,6";"12,3";"20,7";"14,6";"7,8";"13,5";"29,3";"14,7";"13,4";"5,0";"12,7";"2,0";"21,2";"29,0";"16,1";"23,0";"15,2"
"Decisamente no";"1,8";"1,3";"0,9";"0,5";"3,6";"0,4";"-";"-";"2,7";"0,9";"0,7";"3,8";"2,1";"3,7";"-";"-";"1,1";"2,0";"1,2";"4,2";"2,6";"3,4";"1,5"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"54,0";"53,3";"59,8";"50,8";"53,6";"62,7";"51,9";"49,2";"50,0";"52,1";"57,8";"48,1";"50,5";"51,4";"63,4";"61,3";"55,5";"71,4";"45,9";"51,6";"59,1";"54,6";"42,4"
"Più sì che no";"38,3";"38,2";"33,0";"42,4";"37,5";"30,9";"35,8";"44,6";"39,7";"39,4";"35,5";"40,4";"42,5";"37,6";"26,8";"31,1";"37,2";"28,6";"45,9";"42,0";"34,2";"38,9";"47,0"
"Più no che sì";"5,2";"5,8";"5,4";"5,2";"7,1";"3,8";"9,9";"6,2";"6,8";"5,6";"3,4";"11,5";"5,0";"8,3";"6,1";"4,2";"4,5";"-";"8,2";"4,2";"4,4";"4,1";"6,1"
"Decisamente no";"1,1";"1,3";"0,9";"0,5";"-";"0,4";"2,5";"-";"1,5";"0,5";"1,7";"-";"0,8";"0,9";"3,7";"1,7";"1,1";"-";"-";"1,8";"0,5";"1,1";"-"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"11,7";"5,5";"10,7";"18,8";"19,6";"11,4";"6,2";"41,5";"7,7";"23,9";"35,8";"34,6";"14,4";"24,8";"12,2";"11,8";"7,5";"16,3";"4,7";"4,2";"9,3";"7,5";"7,6"
"Spesso adeguate";"35,8";"27,7";"56,3";"46,1";"62,5";"51,7";"30,9";"43,1";"35,7";"52,1";"40,2";"55,8";"35,3";"55,0";"47,6";"49,6";"24,1";"53,1";"48,2";"25,4";"37,8";"34,0";"39,4"
"Raramente adeguate";"41,6";"52,8";"27,7";"29,8";"14,3";"30,9";"50,6";"15,4";"45,6";"20,7";"18,2";"9,6";"41,8";"15,6";"35,4";"31,1";"49,9";"22,4";"41,2";"54,8";"40,7";"47,6";"47,0"
"Mai adeguate";"9,5";"12,7";"3,6";"4,2";"1,8";"4,7";"9,9";"-";"8,2";"2,8";"3,4";"-";"7,3";"2,8";"4,9";"7,6";"16,9";"8,2";"5,9";"14,5";"9,3";"10,3";"6,1"
"Non utilizzate";"0,8";"0,8";"0,9";"-";"-";"0,4";"2,5";"-";"2,0";"-";"1,0";"-";"0,4";"0,9";"-";"-";"1,3";"-";"-";"0,4";"2,3";"0,2";"-"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Presenti e in numero adeguato";"16,4";"15,6";"17,0";"49,2";"17,9";"22,0";"7,4";"36,9";"13,4";"39,9";"38,2";"57,7";"10,2";"43,1";"23,2";"21,8";"5,9";"30,6";"8,2";"11,0";"8,8";"10,3";"9,1"
"Presenti, ma in numero inadeguato";"41,9";"56,4";"35,7";"24,1";"60,7";"60,6";"48,1";"41,5";"42,9";"52,1";"33,8";"26,9";"38,7";"48,6";"52,4";"45,4";"32,4";"44,9";"54,1";"59,4";"28,0";"32,2";"51,5"
"Non presenti";"19,9";"11,2";"20,5";"14,7";"7,1";"6,4";"19,8";"13,8";"15,0";"2,8";"8,8";"3,8";"36,4";"3,7";"12,2";"10,1";"36,4";"6,1";"15,3";"11,0";"23,6";"20,2";"16,7"
"Non utilizzate";"20,9";"16,2";"24,1";"11,0";"12,5";"9,7";"24,7";"7,7";"27,7";"3,8";"17,2";"11,5";"13,7";"3,7";"12,2";"21,8";"24,8";"18,4";"22,4";"18,0";"38,3";"36,5";"21,2"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente positiva";"17,6";"20,7";"8,0";"11,0";"5,4";"28,8";"22,2";"21,5";"17,2";"16,9";"21,6";"21,2";"13,8";"50,5";"36,6";"26,9";"15,1";"20,4";"14,1";"13,1";"15,3";"11,2";"34,8"
"Abbastanza positiva";"53,3";"61,8";"58,9";"46,6";"33,9";"55,1";"63,0";"49,2";"58,4";"37,1";"42,2";"46,2";"46,9";"41,3";"50,0";"48,7";"54,8";"46,9";"61,2";"60,8";"49,5";"56,5";"54,5"
"Abbastanza negativa";"11,6";"10,8";"9,8";"13,1";"17,9";"5,1";"11,1";"15,4";"14,3";"14,1";"9,8";"15,4";"12,3";"5,5";"3,7";"5,9";"12,3";"2,0";"17,6";"10,2";"13,0";"12,7";"6,1"
"Decisamente negativa";"4,6";"2,0";"7,1";"3,7";"19,6";"0,8";"-";"1,5";"5,5";"6,1";"4,7";"5,8";"9,8";"-";"-";"2,5";"3,8";"10,2";"3,5";"3,9";"3,4";"4,7";"4,5"
"Non utilizzate";"12,3";"4,3";"14,3";"24,6";"21,4";"8,9";"2,5";"12,3";"3,7";"24,9";"20,6";"11,5";"16,2";"1,8";"9,8";"16,0";"13,5";"16,3";"3,5";"11,3";"18,1";"14,0";"-"
"Il carico di studio degli insegnamenti è stato adeguato alla durata del corso di studio? (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"22,0";"12,3";"30,4";"20,4";"17,9";"33,1";"13,6";"32,3";"23,4";"35,2";"37,2";"28,8";"18,5";"15,6";"28,0";"38,7";"20,8";"24,5";"5,9";"15,5";"23,6";"23,8";"36,4"
"Più sì che no";"35,7";"29,1";"36,6";"46,6";"42,9";"35,2";"25,9";"30,8";"27,8";"41,8";"38,5";"34,6";"42,8";"24,8";"46,3";"45,4";"28,9";"36,7";"17,6";"41,3";"40,2";"43,5";"37,9"
"Più no che sì";"15,4";"13,7";"23,2";"19,9";"26,8";"18,6";"3,7";"27,7";"11,2";"11,7";"12,8";"21,2";"25,9";"22,9";"15,9";"8,4";"6,3";"28,6";"7,1";"19,1";"18,4";"16,1";"12,1"
"Decisamente no";"4,0";"2,5";"4,5";"8,9";"12,5";"8,1";"-";"6,2";"2,0";"3,3";"2,7";"11,5";"8,4";"18,3";"2,4";"2,5";"0,6";"-";"2,4";"6,4";"2,6";"2,8";"3,0"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, allo stesso corso dell'Ateneo";"57,1";"43,9";"65,2";"71,7";"62,5";"55,5";"48,1";"64,6";"66,5";"70,4";"68,6";"63,5";"46,5";"53,2";"75,6";"75,6";"59,9";"63,3";"54,1";"53,7";"57,5";"57,0";"57,6"
"Sì, ma ad un altro corso dell'Ateneo";"7,1";"6,9";"11,6";"11,0";"7,1";"10,6";"4,9";"4,6";"6,4";"4,7";"9,1";"1,9";"4,0";"7,3";"7,3";"5,0";"10,3";"12,2";"11,8";"4,2";"8,8";"4,4";"7,6"
"Sì, allo stesso corso ma in un altro Ateneo";"24,2";"32,4";"16,1";"9,4";"16,1";"23,7";"30,9";"27,7";"16,7";"15,0";"7,4";"25,0";"41,8";"25,7";"9,8";"11,8";"17,4";"14,3";"18,8";"30,4";"22,3";"28,0";"18,2"
"Sì, ma ad un altro corso e in un altro Ateneo";"7,5";"11,8";"3,6";"3,7";"8,9";"8,1";"8,6";"1,5";"6,6";"5,2";"8,8";"9,6";"3,4";"5,5";"3,7";"3,4";"8,7";"10,2";"11,8";"9,2";"8,0";"7,2";"6,1"
"Non si iscriverebbero più all'università";"3,5";"4,6";"2,7";"3,7";"3,6";"1,7";"7,4";"-";"3,3";"3,8";"4,7";"-";"3,3";"7,3";"3,7";"4,2";"3,5";"-";"2,4";"2,1";"2,8";"2,9";"7,6"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Inglese scritto";"73,4";"84,6";"79,5";"79,6";"82,1";"81,4";"70,4";"84,6";"67,9";"84,0";"58,8";"78,8";"75,0";"64,2";"65,9";"58,8";"66,5";"69,4";"67,1";"77,0";"67,6";"75,7";"63,6"
"Inglese parlato";"68,4";"81,6";"74,1";"72,3";"80,4";"68,2";"65,4";"81,5";"67,0";"71,4";"55,1";"67,3";"68,3";"62,4";"61,0";"45,4";"60,7";"65,3";"64,7";"72,1";"64,0";"74,4";"47,0"
"Francese scritto";"22,6";"44,1";"10,7";"12,0";"5,4";"17,4";"25,9";"6,2";"23,4";"3,8";"18,9";"3,8";"17,2";"13,8";"11,0";"16,0";"20,8";"10,2";"28,2";"16,6";"34,5";"21,8";"12,1"
"Francese parlato";"22,7";"43,8";"13,4";"12,6";"5,4";"17,4";"18,5";"6,2";"23,1";"3,8";"19,3";"5,8";"16,6";"14,7";"8,5";"16,8";"20,6";"10,2";"28,2";"18,0";"36,3";"22,8";"15,2"
"Spagnolo scritto";"13,5";"37,5";"4,5";"1,0";"1,8";"6,4";"8,6";"4,6";"9,5";"2,8";"3,4";"-";"10,6";"10,1";"9,8";"1,7";"8,2";"8,2";"7,1";"20,5";"13,0";"17,9";"4,5"
"Spagnolo parlato";"14,2";"39,1";"5,4";"1,0";"3,6";"6,8";"8,6";"4,6";"9,7";"2,8";"3,7";"-";"10,3";"9,2";"12,2";"1,7";"9,5";"6,1";"7,1";"21,2";"13,0";"20,0";"4,5"
"Tedesco scritto";"3,5";"13,3";"1,8";"1,6";"-";"0,4";"3,7";"1,5";"1,3";"0,9";"1,4";"-";"1,8";"0,9";"1,2";"1,7";"0,9";"-";"7,1";"3,5";"1,6";"3,9";"6,1"
"Tedesco parlato";"3,2";"12,8";"0,9";"1,6";"-";"0,4";"2,5";"1,5";"1,5";"0,5";"1,4";"-";"1,5";"0,9";"-";"0,8";"0,6";"-";"7,1";"3,5";"1,8";"3,6";"4,5"
"Strumenti informatici: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Navigazione in Internet e comunicazione in rete";"87,1";"89,9";"89,3";"92,1";"82,1";"85,6";"80,2";"89,2";"86,3";"98,1";"85,5";"90,4";"88,4";"78,0";"79,3";"87,4";"86,3";"83,7";"84,7";"85,9";"81,9";"87,5";"83,3"
"Word processor";"78,1";"78,5";"69,6";"86,4";"76,8";"75,8";"74,1";"84,6";"71,8";"93,4";"76,7";"78,8";"76,8";"63,3";"78,0";"85,7";"77,8";"75,5";"78,8";"79,9";"74,4";"84,5";"65,2"
"Fogli elettronici";"64,4";"56,1";"65,2";"74,3";"76,8";"63,6";"48,1";"90,8";"52,2";"89,2";"65,5";"69,2";"63,9";"56,9";"69,5";"73,9";"64,8";"77,6";"49,4";"76,0";"57,3";"74,1";"42,4"
"Strumenti di presentazione";"68,3";"64,7";"59,8";"80,6";"80,4";"71,6";"63,0";"76,9";"56,6";"87,3";"64,9";"57,7";"70,5";"71,6";"68,3";"80,7";"67,8";"71,4";"61,2";"72,1";"60,6";"76,1";"47,0"
"Sistemi operativi";"70,0";"66,5";"64,3";"73,3";"71,4";"71,2";"63,0";"78,5";"65,8";"93,4";"70,6";"69,2";"71,6";"61,5";"69,5";"71,4";"66,3";"73,5";"57,6";"71,4";"71,5";"74,9";"69,7"
"Multimedia";"53,7";"55,6";"46,4";"54,5";"37,5";"48,7";"53,1";"46,2";"47,8";"68,5";"53,0";"34,6";"53,6";"44,0";"45,1";"52,1";"60,1";"34,7";"45,9";"55,5";"51,0";"56,0";"47,0"
"Linguaggi di programmazione";"20,6";"17,5";"11,6";"16,8";"16,1";"19,5";"12,3";"47,7";"18,3";"95,8";"19,6";"38,5";"14,6";"10,1";"13,4";"10,9";"20,4";"6,1";"24,7";"18,4";"21,2";"16,8";"12,1"
"Data base";"24,2";"23,3";"17,0";"18,8";"14,3";"16,9";"16,0";"13,8";"21,4";"90,6";"27,7";"15,4";"19,1";"18,3";"20,7";"16,0";"22,5";"26,5";"23,5";"30,4";"19,7";"25,9";"13,6"
"Realizzazione siti web";"16,7";"16,0";"11,6";"10,5";"7,1";"13,6";"9,9";"9,2";"13,0";"77,9";"18,6";"9,6";"13,4";"13,8";"12,2";"7,6";"16,5";"6,1";"15,3";"18,0";"14,5";"14,7";"19,7"
"Reti di trasmissione dati";"20,0";"19,9";"17,0";"15,7";"10,7";"18,2";"18,5";"7,7";"18,3";"61,5";"19,9";"7,7";"17,7";"21,1";"15,9";"16,0";"21,3";"4,1";"22,4";"20,8";"19,9";"16,9";"9,1"
"CAD/CAM/CAE - progettazione assistita";"13,5";"12,5";"13,4";"9,9";"8,9";"13,1";"14,8";"7,7";"13,9";"14,6";"13,9";"7,7";"11,9";"17,4";"26,8";"16,0";"12,8";"10,2";"20,0";"14,5";"16,8";"13,5";"12,1"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Intendono proseguire gli studi (%)";"67,4";"69,0";"92,0";"72,3";"76,8";"50,8";"82,7";"84,6";"69,2";"43,2";"50,7";"69,2";"75,4";"71,6";"73,2";"57,1";"65,1";"79,6";"82,4";"76,7";"68,9";"60,1";"72,7"
"Laurea triennale";"1,0";"0,9";"1,8";"-";"-";"0,8";"-";"-";"0,7";"1,9";"1,7";"-";"2,1";"-";"1,2";"-";"0,8";"-";"1,2";"1,1";"0,8";"0,3";"1,5"
"Laurea magistrale";"32,3";"43,2";"75,0";"35,6";"42,9";"4,2";"55,6";"67,7";"3,5";"32,4";"23,0";"44,2";"8,9";"9,2";"56,1";"35,3";"35,9";"63,3";"52,9";"60,1";"36,5";"42,3";"47,0"
"Dottorato di ricerca";"4,2";"4,5";"3,6";"18,3";"21,4";"10,6";"12,3";"12,3";"5,9";"3,3";"2,4";"13,5";"0,9";"7,3";"4,9";"5,9";"1,9";"8,2";"8,2";"1,1";"1,8";"1,6";"6,1"
"Diploma accademico (Alta Formazione Artistica e Musicale) ";"0,3";"0,8";"-";"-";"-";"-";"1,2";"-";"-";"-";"0,3";"-";"0,3";"-";"-";"-";"0,3";"-";"-";"-";"0,3";"0,2";"-"
"Scuola di specializzazione post-laurea";"8,9";"2,2";"2,7";"4,7";"1,8";"6,8";"2,5";"1,5";"14,3";"0,9";"6,8";"1,9";"32,8";"34,9";"2,4";"0,8";"5,3";"-";"5,9";"3,2";"7,0";"1,5";"1,5"
"Master universitario";"10,0";"8,5";"4,5";"7,9";"3,6";"17,4";"2,5";"3,1";"11,4";"0,5";"5,4";"3,8";"22,5";"2,8";"2,4";"5,0";"10,2";"4,1";"5,9";"7,1";"11,9";"7,0";"4,5"
"Altro tipo di master o corso di perfezionamento";"2,8";"3,7";"2,7";"2,6";"-";"3,0";"-";"-";"2,6";"1,4";"1,0";"1,9";"5,0";"4,6";"2,4";"2,5";"3,0";"-";"-";"0,7";"3,4";"2,3";"1,5"
"Tirocinio, praticantato";"4,6";"0,9";"0,9";"1,0";"-";"3,8";"1,2";"-";"25,1";"-";"7,8";"1,9";"1,1";"10,1";"1,2";"2,5";"4,7";"2,0";"1,2";"1,8";"2,6";"3,1";"3,0"
"Attività sostenuta da borsa o assegno di studio";"0,4";"0,8";"-";"-";"5,4";"0,4";"-";"-";"0,2";"-";"-";"-";"0,3";"0,9";"-";"1,7";"0,2";"2,0";"1,2";"0,4";"0,5";"0,2";"-"
"Altre attività di qualificazione professionale";"2,5";"3,0";"0,9";"1,6";"1,8";"3,8";"4,9";"-";"4,9";"1,9";"1,7";"1,9";"1,3";"1,8";"2,4";"1,7";"2,4";"-";"4,7";"1,1";"4,1";"1,3";"7,6"
"Non intendono proseguire";"32,0";"30,7";"7,1";"26,2";"21,4";"48,7";"17,3";"15,4";"29,7";"55,4";"48,0";"30,8";"24,0";"26,6";"26,8";"42,9";"34,7";"20,4";"17,6";"23,3";"30,1";"39,3";"24,2"
"10. PROSPETTIVE DI LAVORO"
