"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Hanno esperienze di lavoro (%) ";"59,8";"66,4";"47,1";"39,7";"50,8";"66,1";"54,6";"44,4";"64,6";"55,0";"64,6";"65,0";"43,8";"55,9";"62,8";"60,1";"65,0";"66,1";"60,9";"66,7";"64,5"
"Lavoratori-studenti";"5,6";"3,2";"3,7";"1,0";"1,7";"6,8";"0,9";"-";"3,8";"7,6";"22,9";"5,0";"2,3";"0,8";"3,8";"2,0";"8,8";"3,4";"2,9";"6,1";"7,3"
"Altre esperienze di lavoro con continuità a tempo pieno";"2,7";"3,9";"0,7";"1,0";"1,7";"2,1";"2,8";"-";"2,3";"4,2";"6,5";"-";"1,6";"2,5";"3,8";"2,7";"2,5";"5,1";"1,2";"3,0";"3,1"
"Lavoro a tempo parziale";"16,1";"20,6";"11,0";"7,8";"13,6";"19,7";"11,1";"11,1";"17,4";"11,8";"11,7";"23,3";"8,0";"18,6";"12,8";"20,3";"20,3";"6,8";"18,8";"20,1";"15,3"
"Lavoro occasionale, saltuario, stagionale";"35,4";"38,6";"31,6";"29,9";"33,9";"37,5";"39,8";"33,3";"41,1";"31,3";"23,4";"36,7";"31,9";"33,9";"42,3";"35,1";"33,5";"50,8";"37,9";"37,5";"38,9"
"Nessuna esperienza di lavoro";"39,8";"33,4";"52,9";"59,3";"49,2";"33,6";"44,4";"55,6";"35,2";"44,7";"34,9";"33,3";"55,3";"43,2";"34,6";"39,2";"34,9";"33,9";"38,9";"32,8";"35,1"
"Lavoro coerente con gli studi";"13,9";"18,8";"0,7";"2,9";"6,8";"18,2";"5,6";"7,4";"6,6";"17,2";"22,1";"31,7";"8,4";"11,0";"20,5";"12,2";"22,7";"8,5";"10,0";"9,6";"10,7"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"36,2";"26,7";"39,0";"42,6";"39,0";"35,5";"46,3";"44,4";"38,5";"40,8";"41,4";"43,3";"30,6";"37,3";"29,5";"50,7";"39,9";"40,7";"27,1";"43,3";"35,5"
"Più sì che no";"48,9";"49,0";"44,9";"49,5";"44,1";"51,4";"44,9";"48,1";"48,4";"49,6";"46,9";"31,7";"49,7";"39,0";"55,1";"44,6";"49,0";"49,2";"56,0";"48,2";"48,1"
"Più no che sì";"12,7";"19,7";"11,8";"6,4";"16,9";"11,0";"7,4";"7,4";"12,0";"8,8";"9,0";"21,7";"16,9";"19,5";"11,5";"4,1";"10,0";"8,5";"15,2";"6,6";"14,5"
"Decisamente no";"1,7";"3,9";"2,9";"1,5";"-";"1,5";"-";"-";"0,9";"0,8";"1,6";"1,7";"1,9";"4,2";"1,3";"-";"1,0";"1,7";"1,5";"1,6";"1,9"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"22,0";"22,5";"22,1";"29,4";"23,7";"15,7";"21,8";"40,7";"16,7";"22,1";"31,3";"35,0";"17,2";"27,1";"19,2";"31,8";"23,8";"40,7";"13,4";"23,4";"33,2"
"Più sì che no";"58,9";"58,7";"60,3";"62,7";"55,9";"59,6";"59,7";"57,4";"55,9";"64,1";"56,1";"46,7";"57,5";"55,1";"66,7";"57,4";"64,4";"50,8";"55,0";"59,7";"54,2"
"Più no che sì";"16,6";"16,0";"16,9";"6,4";"20,3";"21,4";"16,7";"1,9";"23,8";"12,2";"11,7";"16,7";"21,3";"15,3";"12,8";"8,1";"10,8";"1,7";"27,4";"15,7";"10,7"
"Decisamente no";"1,6";"1,7";"0,7";"0,5";"-";"2,4";"0,5";"-";"2,4";"1,1";"0,3";"-";"2,6";"1,7";"-";"1,4";"0,6";"3,4";"3,7";"0,5";"1,1"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"54,0";"51,2";"56,6";"65,7";"55,9";"57,1";"55,1";"68,5";"49,0";"52,3";"55,3";"58,3";"52,7";"50,0";"55,1";"61,5";"54,1";"61,0";"46,9";"60,7";"52,3"
"Più sì che no";"38,8";"39,4";"37,5";"30,4";"42,4";"37,0";"39,8";"27,8";"42,2";"43,1";"37,3";"33,3";"38,6";"42,4";"41,0";"32,4";"39,2";"28,8";"45,2";"34,4";"40,1"
"Più no che sì";"5,3";"7,1";"5,1";"3,4";"1,7";"4,1";"3,7";"3,7";"7,1";"3,8";"4,4";"6,7";"6,5";"5,1";"2,6";"5,4";"4,8";"6,8";"6,1";"3,5";"5,3"
"Decisamente no";"0,9";"1,3";"0,7";"-";"-";"0,8";"0,5";"-";"0,9";"0,4";"1,6";"-";"0,9";"2,5";"-";"-";"1,0";"-";"0,5";"0,5";"1,1"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"11,8";"7,2";"11,0";"18,6";"22,0";"6,8";"19,4";"27,8";"10,6";"21,8";"27,5";"28,3";"10,2";"32,2";"6,4";"14,9";"6,8";"23,7";"7,1";"8,7";"13,4"
"Spesso adeguate";"36,9";"26,5";"51,5";"47,5";"40,7";"34,5";"50,5";"55,6";"37,2";"45,4";"44,4";"45,0";"39,1";"45,8";"42,3";"42,6";"27,6";"50,8";"34,5";"36,3";"42,4"
"Raramente adeguate";"40,8";"51,8";"33,1";"28,9";"33,9";"47,6";"24,5";"14,8";"42,7";"26,0";"24,0";"23,3";"39,0";"20,3";"44,9";"37,2";"47,5";"16,9";"50,9";"45,2";"34,0"
"Mai adeguate";"9,1";"12,9";"4,4";"3,4";"3,4";"9,9";"3,7";"1,9";"7,5";"5,3";"2,7";"1,7";"9,7";"0,8";"6,4";"4,7";"16,1";"5,1";"7,3";"8,9";"9,2"
"Non utilizzate";"0,9";"1,2";"-";"-";"-";"0,9";"0,5";"-";"1,7";"0,8";"0,8";"-";"0,6";"-";"-";"-";"1,5";"-";"0,2";"0,7";"1,1"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Presenti e in numero adeguato";"17,4";"16,4";"21,3";"38,2";"15,3";"8,0";"28,7";"57,4";"16,8";"41,2";"42,2";"60,0";"9,6";"53,4";"17,9";"18,2";"5,0";"33,9";"13,9";"10,1";"12,6"
"Presenti, ma in numero inadeguato";"42,0";"55,8";"36,0";"30,4";"42,4";"32,8";"57,9";"25,9";"45,0";"52,3";"34,9";"35,0";"36,4";"39,0";"64,1";"58,1";"30,6";"47,5";"60,6";"29,7";"50,8"
"Non presenti";"19,8";"11,0";"17,6";"14,2";"25,4";"21,2";"3,7";"7,4";"14,9";"3,4";"6,8";"-";"36,8";"1,7";"5,1";"8,8";"38,2";"6,8";"10,5";"24,4";"16,8"
"Non utilizzate";"20,2";"16,5";"25,0";"15,2";"15,3";"37,7";"8,3";"9,3";"23,1";"2,7";"15,3";"3,3";"15,9";"5,1";"12,8";"13,5";"25,9";"10,2";"14,9";"35,4";"19,1"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente positiva";"18,7";"21,4";"11,0";"13,7";"11,9";"12,0";"31,9";"24,1";"18,8";"13,0";"24,0";"31,7";"14,0";"54,2";"24,4";"23,0";"17,3";"28,8";"15,6";"14,5";"29,8"
"Abbastanza positiva";"52,9";"63,8";"56,6";"45,1";"33,9";"52,9";"55,6";"50,0";"59,9";"41,2";"50,7";"46,7";"40,7";"39,8";"65,4";"58,1";"54,7";"50,8";"59,2";"53,6";"50,4"
"Abbastanza negativa";"10,2";"8,5";"14,0";"12,3";"22,0";"10,7";"6,5";"9,3";"12,7";"13,0";"9,5";"13,3";"12,4";"1,7";"5,1";"2,0";"8,8";"5,1";"10,5";"10,5";"11,5"
"Decisamente negativa";"4,7";"1,9";"3,7";"4,4";"18,6";"6,0";"1,4";"1,9";"3,8";"4,2";"2,7";"1,7";"11,2";"0,8";"-";"0,7";"4,4";"-";"4,2";"3,7";"5,0"
"Non utilizzate";"12,8";"4,2";"14,7";"22,5";"13,6";"17,6";"3,2";"14,8";"4,7";"28,6";"12,3";"5,0";"20,0";"3,4";"3,8";"15,5";"14,5";"13,6";"10,3";"17,3";"3,1"
"Valutazione delle attrezzature per le altre attività didattiche (laboratori, attività pratiche, …) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"9,8";"7,5";"11,0";"24,0";"10,2";"3,8";"25,0";"22,2";"6,4";"20,2";"22,1";"28,3";"9,3";"20,3";"7,7";"12,8";"4,9";"25,4";"3,7";"5,2";"8,8"
"Spesso adeguate";"26,5";"23,9";"44,1";"41,2";"52,5";"15,7";"49,5";"55,6";"18,6";"44,7";"31,6";"28,3";"26,3";"52,5";"38,5";"36,5";"21,0";"39,0";"22,2";"17,8";"20,2"
"Raramente adeguate";"33,7";"42,1";"39,0";"28,4";"28,8";"30,6";"20,8";"16,7";"25,2";"26,7";"21,0";"21,7";"42,0";"22,9";"44,9";"37,8";"36,2";"27,1";"40,1";"27,4";"37,8"
"Mai adeguate";"10,7";"11,1";"5,1";"3,9";"8,5";"13,1";"1,4";"-";"14,1";"4,6";"5,4";"5,0";"14,5";"4,2";"5,1";"8,8";"14,6";"1,7";"10,8";"8,4";"11,8"
"Non utilizzate";"18,5";"14,8";"0,7";"0,5";"-";"36,6";"1,9";"3,7";"34,5";"3,1";"18,8";"13,3";"6,3";"-";"3,8";"2,7";"22,6";"5,1";"23,0";"40,3";"21,0"
"Valutazione degli spazi dedicati allo studio individuale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Presenti e adeguati";"30,9";"29,7";"33,1";"22,5";"20,3";"25,0";"27,3";"50,0";"34,2";"22,9";"46,9";"50,0";"24,4";"52,5";"28,2";"33,8";"35,6";"45,8";"27,6";"27,4";"33,2"
"Presenti, ma inadeguati";"38,8";"37,3";"29,4";"26,5";"47,5";"47,4";"50,0";"31,5";"45,3";"64,5";"33,5";"35,0";"32,6";"31,4";"50,0";"38,5";"24,3";"44,1";"51,8";"50,6";"28,2"
"Non presenti";"14,4";"16,0";"22,1";"25,5";"16,9";"13,1";"12,0";"7,4";"6,6";"4,6";"6,5";"8,3";"27,4";"9,3";"7,7";"12,8";"15,7";"3,4";"9,0";"6,1";"18,7"
"Non utilizzati";"15,2";"16,0";"15,4";"22,5";"13,6";"14,2";"9,7";"11,1";"13,4";"8,0";"12,3";"5,0";"13,9";"6,8";"14,1";"14,2";"24,1";"3,4";"11,0";"15,7";"18,7"
"Il carico di studio degli insegnamenti è stato adeguato alla durata del corso di studio? (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"28,6";"23,6";"25,7";"26,0";"20,3";"30,4";"34,7";"16,7";"26,7";"41,2";"42,0";"33,3";"19,9";"23,7";"24,4";"36,5";"32,6";"35,6";"26,2";"31,1";"29,8"
"Più sì che no";"46,3";"46,3";"44,9";"44,6";"33,9";"50,8";"38,0";"44,4";"46,4";"43,5";"43,1";"36,7";"43,0";"28,8";"50,0";"49,3";"52,9";"45,8";"46,2";"47,3";"47,3"
"Più no che sì";"19,3";"24,2";"23,5";"23,5";"25,4";"15,4";"20,4";"29,6";"17,4";"13,4";"12,5";"26,7";"28,9";"27,1";"16,7";"12,8";"11,0";"11,9";"21,5";"18,0";"17,2"
"Decisamente no";"4,4";"4,3";"5,9";"5,4";"20,3";"2,6";"6,0";"9,3";"4,5";"1,5";"1,6";"3,3";"7,7";"18,6";"7,7";"1,4";"1,6";"5,1";"3,9";"2,3";"3,8"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, allo stesso corso dell'Ateneo";"57,4";"44,7";"56,6";"71,6";"59,3";"57,7";"58,3";"77,8";"59,4";"69,5";"66,8";"60,0";"47,3";"50,8";"62,8";"77,7";"62,8";"69,5";"54,8";"62,1";"53,8"
"Sì, ma ad un altro corso dell'Ateneo";"7,8";"7,6";"15,4";"4,9";"5,1";"6,0";"12,0";"1,9";"6,8";"2,7";"9,3";"5,0";"6,0";"6,8";"9,0";"6,1";"11,0";"10,2";"9,0";"8,9";"6,5"
"Sì, allo stesso corso ma in un altro Ateneo";"24,5";"31,1";"17,6";"15,7";"30,5";"26,7";"21,3";"16,7";"21,4";"17,6";"12,8";"30,0";"40,1";"28,8";"19,2";"12,2";"16,8";"10,2";"27,4";"18,0";"25,6"
"Sì, ma ad un altro corso e in un altro Ateneo";"7,3";"13,0";"9,6";"3,9";"5,1";"6,5";"5,1";"3,7";"9,2";"5,7";"7,6";"5,0";"4,2";"7,6";"2,6";"1,4";"5,8";"5,1";"6,6";"8,7";"11,5"
"Non si iscriverebbero più all'università";"2,5";"3,3";"0,7";"3,4";"-";"2,7";"1,9";"-";"3,0";"4,6";"2,7";"-";"0,9";"4,2";"6,4";"1,4";"3,2";"3,4";"1,5";"2,1";"2,7"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Lingue straniere: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Inglese scritto";"73,8";"87,3";"75,0";"83,3";"84,7";"73,9";"74,1";"94,4";"69,8";"83,2";"66,8";"73,3";"74,1";"71,2";"59,0";"64,2";"69,4";"79,7";"71,6";"63,0";"67,9"
"Inglese parlato";"69,3";"84,3";"70,6";"74,0";"69,5";"69,6";"70,4";"68,5";"68,8";"72,1";"65,1";"68,3";"67,2";"65,3";"67,9";"62,8";"64,6";"52,5";"65,8";"63,9";"65,6"
"Francese scritto";"21,4";"40,8";"14,0";"14,7";"6,8";"17,6";"19,0";"5,6";"20,1";"7,6";"21,0";"18,3";"15,1";"15,3";"3,8";"8,8";"22,2";"10,2";"19,6";"31,9";"24,8"
"Francese parlato";"20,9";"39,8";"14,0";"13,2";"8,5";"17,5";"17,1";"9,3";"20,7";"6,1";"21,8";"15,0";"13,7";"14,4";"5,1";"10,8";"21,2";"6,8";"20,3";"30,7";"25,6"
"Spagnolo scritto";"11,2";"33,3";"5,9";"5,4";"5,1";"13,3";"6,0";"1,9";"6,9";"2,3";"1,9";"1,7";"7,3";"7,6";"5,1";"4,1";"7,4";"5,1";"16,4";"9,1";"9,5"
"Spagnolo parlato";"11,8";"33,3";"4,4";"4,9";"3,4";"14,5";"6,5";"3,7";"9,0";"1,9";"3,0";"1,7";"7,5";"9,3";"5,1";"6,1";"8,3";"6,8";"17,1";"9,1";"11,5"
"Tedesco scritto";"3,9";"17,7";"1,5";"1,5";"-";"3,3";"2,3";"-";"1,9";"0,8";"1,9";"1,7";"1,4";"-";"-";"1,4";"1,4";"1,7";"3,4";"1,4";"2,7"
"Tedesco parlato";"3,7";"16,0";"1,5";"1,5";"1,7";"3,3";"0,9";"-";"2,1";"1,1";"1,9";"1,7";"1,4";"-";"-";"0,7";"1,4";"1,7";"2,9";"1,9";"2,7"
"Strumenti informatici: conoscenza "almeno buona" (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Navigazione in Internet e comunicazione in rete";"89,7";"90,8";"89,7";"92,6";"91,5";"91,6";"89,4";"94,4";"88,7";"96,6";"88,6";"95,0";"87,6";"88,1";"87,2";"91,9";"88,8";"88,1";"91,4";"87,6";"86,3"
"Word processor";"77,9";"77,5";"76,5";"79,9";"86,4";"81,0";"76,9";"88,9";"75,2";"93,1";"73,8";"81,7";"74,8";"78,0";"75,6";"78,4";"76,2";"83,1";"79,7";"79,4";"73,3"
"Fogli elettronici";"65,5";"56,1";"66,9";"74,0";"91,5";"75,9";"65,3";"88,9";"55,9";"86,6";"65,4";"58,3";"62,9";"69,5";"69,2";"74,3";"61,9";"83,1";"75,8";"64,2";"52,7"
"Strumenti di presentazione";"69,5";"65,0";"74,3";"79,9";"76,3";"76,7";"73,6";"81,5";"59,5";"80,2";"64,9";"58,3";"70,4";"78,0";"74,4";"75,0";"70,1";"74,6";"75,1";"64,2";"55,0"
"Sistemi operativi";"71,9";"70,0";"70,6";"70,6";"67,8";"75,3";"73,6";"85,2";"68,8";"92,0";"68,4";"73,3";"71,0";"74,6";"75,6";"69,6";"70,4";"74,6";"72,4";"71,0";"66,4"
"Multimedia";"53,0";"51,3";"57,4";"47,5";"42,4";"54,7";"50,5";"50,0";"49,7";"61,5";"54,2";"31,7";"50,9";"51,7";"52,6";"45,9";"59,6";"40,7";"55,3";"55,3";"46,9"
"Linguaggi di programmazione";"19,5";"15,5";"15,4";"11,8";"15,3";"17,6";"19,4";"40,7";"17,2";"91,6";"20,4";"36,7";"11,8";"17,8";"11,5";"12,8";"18,3";"22,0";"15,9";"19,9";"14,5"
"Data base";"24,5";"21,7";"20,6";"12,7";"16,9";"25,5";"23,1";"22,2";"21,2";"89,7";"33,0";"6,7";"17,3";"21,2";"19,2";"19,6";"21,5";"28,8";"30,1";"21,8";"16,8"
"Realizzazione siti web";"16,1";"13,1";"14,7";"9,3";"11,9";"14,8";"16,7";"3,7";"12,3";"82,8";"15,8";"5,0";"10,9";"16,1";"10,3";"8,1";"14,7";"8,5";"15,9";"16,4";"15,3"
"Reti di trasmissione dati";"17,8";"14,6";"15,4";"14,7";"16,9";"19,1";"19,9";"11,1";"15,6";"62,6";"18,3";"5,0";"12,8";"18,6";"11,5";"10,8";"18,6";"3,4";"18,6";"18,5";"14,1"
"CAD/CAM/CAE - progettazione assistita";"9,8";"9,4";"5,9";"6,9";"8,5";"9,5";"13,0";"7,4";"8,5";"10,7";"11,4";"5,0";"6,1";"12,7";"41,0";"12,2";"9,6";"20,3";"9,0";"13,8";"10,7"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Intendono proseguire gli studi (%)";"67,4";"70,4";"86,8";"65,7";"62,7";"55,3";"45,8";"94,4";"66,5";"48,9";"54,2";"63,3";"77,7";"66,9";"78,2";"60,8";"69,5";"66,1";"74,6";"68,6";"74,4"
"Laurea triennale";"1,1";"1,1";"2,2";"0,5";"-";"0,5";"0,5";"-";"0,9";"-";"0,3";"-";"3,1";"0,8";"-";"-";"1,2";"-";"0,5";"1,4";"0,8"
"Laurea magistrale";"33,1";"43,9";"73,5";"31,4";"47,5";"36,9";"0,5";"74,1";"1,4";"36,3";"26,7";"36,7";"12,4";"9,3";"70,5";"42,6";"37,5";"50,8";"59,4";"43,1";"48,1"
"Laurea magistrale a ciclo unico";"0,4";"0,4";"-";"-";"-";"-";"1,4";"-";"0,7";"-";"0,8";"-";"0,5";"-";"-";"0,7";"0,7";"-";"-";"-";"0,8"
"Dottorato di ricerca";"3,4";"4,1";"3,7";"10,8";"10,2";"0,9";"11,1";"18,5";"4,9";"2,7";"1,9";"10,0";"1,1";"6,8";"3,8";"6,1";"1,7";"6,8";"1,0";"1,4";"5,3"
"Diploma accademico (Alta Formazione Artistica e Musicale) ";"0,2";"0,3";"-";"-";"-";"-";"-";"-";"0,2";"-";"0,3";"1,7";"0,2";"-";"-";"-";"0,1";"-";"-";"-";"0,8"
"Scuola di specializzazione post-laurea";"8,5";"2,2";"2,2";"3,4";"-";"1,7";"6,0";"1,9";"11,5";"0,8";"6,5";"1,7";"29,2";"24,6";"-";"2,0";"8,5";"-";"3,4";"6,1";"3,8"
"Master universitario";"9,9";"7,3";"3,7";"11,3";"3,4";"9,0";"17,1";"-";"12,8";"3,4";"7,6";"3,3";"20,0";"6,8";"-";"6,8";"10,0";"5,1";"5,1";"9,1";"4,6"
"Altro tipo di master o corso di perfezionamento";"3,5";"4,6";"-";"1,5";"-";"2,4";"5,1";"-";"4,0";"3,1";"1,1";"5,0";"6,4";"4,2";"3,8";"1,4";"3,4";"-";"1,5";"2,3";"3,8"
"Tirocinio, praticantato";"4,5";"2,4";"-";"2,0";"1,7";"3,0";"2,8";"-";"26,2";"0,4";"7,4";"1,7";"1,5";"10,2";"-";"-";"3,6";"1,7";"2,0";"0,9";"1,1"
"Attività sostenuta da borsa o assegno di studio";"0,4";"0,6";"-";"2,0";"-";"-";"0,5";"-";"0,3";"-";"0,3";"-";"0,7";"-";"-";"-";"0,4";"1,7";"-";"0,2";"1,5"
"Altre attività di qualificazione professionale";"2,2";"2,9";"1,5";"2,0";"-";"0,9";"0,9";"-";"3,6";"1,9";"1,1";"3,3";"2,4";"4,2";"-";"1,4";"2,0";"-";"1,5";"3,7";"3,4"
"Non intendono proseguire";"32,3";"29,2";"13,2";"33,3";"37,3";"44,6";"53,7";"5,6";"33,0";"51,1";"45,5";"36,7";"21,9";"32,2";"21,8";"38,5";"30,4";"32,2";"25,4";"31,4";"24,8"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Economia, management e diritto dell'impresa (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi umanistici (DISUM) (Dip.)"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Acquisizione di professionalità";"81,0";"77,3";"84,6";"82,4";"81,4";"84,2";"80,6";"74,1";"82,1";"83,6";"76,0";"78,3";"83,2";"83,9";"71,8";"83,8";"79,9";"79,7";"82,2";"83,1";"76,7"
"Possibilità di carriera";"73,0";"68,9";"73,5";"68,1";"62,7";"84,9";"77,3";"50,0";"81,4";"80,5";"73,8";"51,7";"66,0";"73,7";"65,4";"74,3";"69,5";"62,7";"83,6";"76,6";"61,5"
"Possibilità di guadagno";"63,9";"63,0";"60,3";"60,3";"50,8";"69,1";"72,7";"40,7";"67,0";"66,4";"67,6";"45,0";"58,8";"66,1";"65,4";"64,9";"63,0";"62,7";"69,4";"64,6";"59,9"
