"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Attività di lavoro successivamente riconosciute dal corso";"5,8";"9,5";"1,5";"1,3";"1,7";"3,6";"1,3";"4,9";"1,1";"2,3";"12,5";"1,4";"0,6";"5,5";"3,8";"5,5";"9,7";"10,9";"5,8";"2,9";"3,7";"12,4"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"42,0";"40,2";"65,7";"12,5";"15,5";"10,3";"75,6";"52,4";"96,8";"20,5";"53,6";"95,7";"23,7";"22,9";"41,5";"27,3";"19,1";"19,6";"68,9";"89,7";"45,0";"51,9"
"Mesi impiegati per la tesi/prova finale (medie)";"5,1";"5,4";"3,5";"5,9";"6,8";"4,8";"5,6";"4,0";"6,0";"5,0";"4,5";"5,0";"6,0";"7,7";"6,0";"4,6";"5,2";"6,2";"7,2";"2,9";"3,9";"3,5"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Hanno esperienze di lavoro (%) ";"60,5";"67,8";"52,2";"40,0";"50,0";"56,7";"57,7";"37,8";"62,6";"60,9";"68,1";"58,0";"46,0";"56,9";"66,0";"63,6";"67,1";"58,7";"59,2";"64,7";"71,8";"65,7"
"Lavoratori-studenti";"6,0";"4,8";"1,5";"-";"1,7";"2,6";"6,4";"-";"7,1";"5,5";"25,1";"2,9";"2,0";"4,6";"3,8";"6,4";"7,9";"-";"2,9";"6,1";"9,7";"6,8"
"Altre esperienze di lavoro con continuità a tempo pieno";"2,7";"3,0";"2,2";"0,6";"1,7";"2,1";"1,3";"3,7";"1,9";"3,2";"4,6";"1,4";"2,2";"1,8";"1,9";"2,7";"2,6";"2,2";"1,0";"4,2";"2,0";"4,0"
"Lavoro a tempo parziale";"17,3";"19,3";"14,2";"13,8";"19,0";"14,4";"17,9";"6,1";"16,8";"18,6";"14,8";"15,9";"9,3";"9,2";"20,8";"18,2";"22,3";"21,7";"23,3";"17,0";"23,2";"21,9"
"Lavoro occasionale, saltuario, stagionale";"34,6";"40,7";"34,3";"25,6";"27,6";"37,6";"32,1";"28,0";"36,7";"33,6";"23,6";"37,7";"32,6";"41,3";"39,6";"36,4";"34,3";"34,8";"32,0";"37,5";"36,9";"33,0"
"Nessuna esperienza di lavoro";"38,9";"31,4";"47,0";"60,0";"50,0";"42,3";"42,3";"62,2";"37,1";"38,6";"30,0";"42,0";"53,4";"42,2";"34,0";"34,5";"32,6";"41,3";"38,8";"34,6";"27,9";"34,0"
"Lavoro coerente con gli studi";"14,7";"17,6";"3,7";"3,1";"10,3";"8,2";"9,0";"7,3";"7,3";"18,2";"29,7";"30,4";"10,2";"11,0";"35,8";"19,1";"19,8";"2,2";"8,7";"15,1";"9,1";"18,9"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"31,5";"21,6";"27,6";"41,9";"31,0";"36,1";"51,3";"41,5";"39,1";"37,3";"45,2";"37,7";"24,3";"30,3";"22,6";"45,5";"35,4";"30,4";"34,0";"24,7";"37,6";"27,1"
"Più sì che no";"51,1";"50,2";"55,2";"51,9";"46,6";"50,5";"34,6";"52,4";"49,2";"51,4";"44,1";"49,3";"53,3";"56,0";"58,5";"46,4";"51,6";"41,3";"41,7";"55,8";"49,7";"53,3"
"Più no che sì";"14,9";"24,4";"15,7";"5,0";"17,2";"11,3";"12,8";"4,9";"9,3";"10,0";"8,7";"11,6";"19,3";"12,8";"15,1";"6,4";"10,8";"26,1";"21,4";"17,0";"12,4";"16,0"
"Decisamente no";"2,0";"2,6";"1,5";"-";"5,2";"2,1";"1,3";"1,2";"1,9";"0,9";"1,1";"1,4";"2,7";"0,9";"3,8";"1,8";"1,6";"2,2";"2,9";"2,2";"-";"2,5"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"18,8";"18,9";"17,2";"25,6";"20,7";"13,9";"25,6";"29,3";"17,1";"20,9";"28,1";"26,1";"16,0";"26,6";"15,1";"36,4";"20,3";"13,0";"23,3";"12,8";"16,8";"14,0"
"Più sì che no";"59,4";"58,7";"68,7";"68,8";"60,3";"61,9";"61,5";"64,6";"54,0";"62,3";"61,2";"60,9";"54,6";"62,4";"67,9";"50,0";"65,5";"73,9";"55,3";"50,3";"65,4";"56,6"
"Più no che sì";"18,7";"19,7";"12,7";"3,8";"15,5";"20,6";"12,8";"3,7";"24,4";"15,5";"8,0";"11,6";"25,3";"11,0";"11,3";"13,6";"11,8";"8,7";"15,5";"31,4";"16,1";"25,9"
"Decisamente no";"2,2";"1,3";"1,5";"-";"1,7";"3,6";"-";"1,2";"3,2";"0,9";"0,8";"1,4";"3,1";"-";"3,8";"-";"1,4";"4,3";"4,9";"4,8";"1,0";"3,1"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"55,3";"51,9";"57,5";"61,3";"62,1";"55,2";"51,3";"63,4";"50,5";"55,0";"53,6";"60,9";"56,1";"52,3";"67,9";"50,9";"57,1";"60,9";"54,4";"50,3";"54,7";"58,4"
"Più sì che no";"37,5";"39,6";"36,6";"33,1";"27,6";"39,7";"33,3";"30,5";"40,8";"38,2";"38,4";"26,1";"36,1";"41,3";"26,4";"44,5";"37,1";"34,8";"34,0";"44,2";"36,9";"35,3"
"Più no che sì";"5,0";"5,7";"4,5";"3,8";"6,9";"3,6";"14,1";"3,7";"5,8";"5,5";"3,8";"11,6";"5,8";"6,4";"1,9";"3,6";"3,4";"2,2";"7,8";"3,8";"5,7";"4,5"
"Decisamente no";"1,0";"0,9";"0,7";"0,6";"-";"1,5";"1,3";"1,2";"0,9";"0,5";"1,5";"1,4";"1,0";"-";"1,9";"0,9";"1,3";"-";"1,9";"0,6";"1,3";"1,1"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"13,2";"6,8";"11,9";"21,3";"15,5";"19,1";"16,7";"42,7";"7,6";"29,1";"29,7";"36,2";"14,6";"20,2";"11,3";"16,4";"6,8";"15,2";"10,7";"9,9";"9,7";"11,9"
"Spesso adeguate";"39,0";"30,4";"52,2";"56,3";"56,9";"54,1";"39,7";"47,6";"36,3";"55,0";"49,0";"42,0";"38,3";"64,2";"34,0";"48,2";"28,8";"41,3";"39,8";"33,3";"37,6";"40,6"
"Raramente adeguate";"37,7";"50,3";"29,1";"17,5";"19,0";"23,7";"34,6";"8,5";"47,1";"13,6";"16,3";"17,4";"36,3";"12,8";"43,4";"30,9";"47,3";"41,3";"35,0";"43,3";"44,6";"38,9"
"Mai adeguate";"8,6";"10,6";"5,2";"3,8";"6,9";"3,1";"7,7";"1,2";"5,8";"0,9";"3,4";"2,9";"9,7";"1,8";"11,3";"4,5";"15,7";"2,2";"12,6";"12,8";"6,7";"6,7"
"Non utilizzate";"0,8";"1,2";"-";"-";"-";"-";"1,3";"-";"2,4";"0,5";"0,4";"1,4";"0,3";"-";"-";"-";"0,9";"-";"-";"0,3";"1,3";"1,4"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Presenti e in numero adeguato";"19,1";"20,7";"12,7";"41,3";"24,1";"35,1";"11,5";"53,7";"16,2";"51,8";"40,3";"69,6";"9,6";"43,1";"20,8";"18,2";"6,3";"37,0";"9,7";"16,7";"7,7";"18,0"
"Presenti, ma in numero inadeguato";"40,1";"52,8";"41,0";"33,1";"32,8";"51,0";"44,9";"36,6";"41,0";"43,2";"34,6";"26,1";"36,7";"51,4";"62,3";"51,8";"29,4";"47,8";"45,6";"54,8";"24,5";"40,2"
"Non presenti";"19,0";"7,6";"22,4";"13,8";"22,4";"2,1";"20,5";"3,7";"10,4";"1,8";"8,4";"-";"40,9";"2,8";"5,7";"8,2";"30,4";"2,2";"22,3";"9,0";"29,9";"12,9"
"Non utilizzate";"21,1";"18,1";"22,4";"11,3";"19,0";"11,3";"23,1";"6,1";"31,1";"2,3";"15,6";"4,3";"12,4";"2,8";"9,4";"21,8";"33,2";"13,0";"21,4";"19,2";"37,9";"28,5"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente positiva";"18,5";"21,5";"12,7";"11,3";"8,6";"30,4";"46,2";"30,5";"17,5";"15,9";"20,2";"29,0";"13,5";"44,0";"20,8";"15,5";"17,2";"21,7";"17,5";"19,9";"15,4";"17,1"
"Abbastanza positiva";"51,4";"58,7";"59,0";"42,5";"34,5";"53,1";"35,9";"53,7";"59,8";"45,5";"50,6";"58,0";"38,5";"51,4";"54,7";"60,0";"55,2";"56,5";"58,3";"52,6";"55,0";"50,5"
"Abbastanza negativa";"10,9";"10,8";"7,5";"12,5";"19,0";"4,6";"9,0";"7,3";"12,3";"9,5";"10,3";"7,2";"16,4";"2,8";"5,7";"5,5";"9,6";"15,2";"9,7";"6,7";"11,1";"10,7"
"Decisamente negativa";"4,8";"2,1";"3,0";"3,1";"20,7";"2,1";"5,1";"-";"5,4";"2,7";"3,8";"1,4";"11,5";"-";"1,9";"0,9";"4,4";"2,2";"7,8";"3,2";"2,0";"3,3"
"Non utilizzate";"13,7";"6,0";"16,4";"30,0";"15,5";"9,8";"3,8";"8,5";"3,9";"25,0";"13,7";"4,3";"19,1";"1,8";"17,0";"18,2";"12,9";"4,3";"5,8";"17,6";"16,1";"17,8"
"Ritengono che il carico di studio degli insegnamenti sia stato sostenibile (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"28,5";"24,1";"21,6";"28,1";"17,2";"20,6";"48,7";"20,7";"32,0";"29,5";"37,6";"26,1";"24,7";"28,4";"30,2";"35,5";"35,4";"43,5";"27,2";"21,5";"34,6";"25,6"
"Più sì che no";"56,3";"61,9";"59,0";"56,3";"48,3";"52,1";"43,6";"61,0";"54,6";"58,2";"51,7";"53,6";"54,2";"50,5";"56,6";"57,3";"57,9";"43,5";"52,4";"56,7";"54,4";"59,1"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, allo stesso corso dell'Ateneo";"55,8";"44,5";"57,5";"66,9";"56,9";"52,1";"66,7";"78,0";"63,5";"66,4";"66,5";"58,0";"47,5";"60,6";"62,3";"73,6";"58,5";"45,7";"52,4";"56,1";"57,7";"54,0"
"Sì, ma ad un altro corso dell'Ateneo";"7,5";"7,4";"14,2";"10,0";"5,2";"10,3";"5,1";"1,2";"7,1";"7,3";"9,5";"7,2";"4,7";"7,3";"7,5";"9,1";"10,2";"6,5";"8,7";"6,7";"9,4";"5,1"
"Sì, allo stesso corso ma in un altro Ateneo";"24,3";"26,7";"13,4";"10,6";"27,6";"25,8";"15,4";"9,8";"17,1";"17,7";"10,6";"27,5";"41,3";"26,6";"13,2";"6,4";"19,4";"28,3";"20,4";"25,0";"20,1";"28,1"
"Sì, ma ad un altro corso e in un altro Ateneo";"8,0";"14,9";"10,4";"5,6";"6,9";"5,7";"7,7";"11,0";"8,2";"4,1";"9,1";"4,3";"4,7";"3,7";"5,7";"6,4";"7,6";"8,7";"13,6";"6,7";"7,0";"8,8"
"Non si iscriverebbero più all'università";"3,7";"5,7";"3,7";"5,6";"1,7";"4,6";"5,1";"-";"3,5";"4,1";"3,0";"2,9";"1,2";"1,8";"11,3";"4,5";"3,8";"10,9";"3,9";"4,8";"5,0";"3,6"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Inglese scritto";"74,2";"88,9";"79,9";"81,3";"79,3";"69,6";"71,8";"90,2";"67,6";"86,4";"60,5";"91,3";"75,0";"69,7";"66,0";"70,9";"68,4";"76,1";"58,3";"71,5";"68,1";"73,0"
"Inglese parlato";"69,5";"87,4";"70,1";"70,6";"77,6";"63,9";"62,8";"84,1";"67,4";"75,5";"60,8";"73,9";"68,7";"57,8";"50,9";"64,5";"64,0";"71,7";"51,5";"63,5";"66,1";"71,2"
"Francese scritto";"22,1";"43,5";"14,9";"8,8";"12,1";"19,1";"16,7";"8,5";"24,2";"6,8";"21,7";"13,0";"16,4";"13,8";"5,7";"15,5";"20,3";"6,5";"30,1";"19,2";"38,6";"19,8"
"Francese parlato";"22,5";"45,6";"13,4";"10,0";"13,8";"20,1";"17,9";"9,8";"23,3";"6,4";"22,8";"11,6";"16,5";"12,8";"3,8";"16,4";"20,9";"8,7";"27,2";"17,9";"40,6";"19,7"
"Spagnolo scritto";"12,2";"36,8";"3,7";"4,4";"-";"4,1";"11,5";"2,4";"5,8";"1,4";"5,3";"1,4";"10,0";"10,1";"7,5";"7,3";"9,5";"4,3";"11,7";"11,9";"11,4";"14,4"
"Spagnolo parlato";"13,2";"36,9";"4,5";"5,0";"1,7";"7,2";"10,3";"3,7";"6,9";"2,3";"6,1";"2,9";"11,4";"10,1";"11,3";"7,3";"10,3";"8,7";"11,7";"13,1";"12,1";"16,0"
"Tedesco scritto";"3,3";"14,1";"3,0";"1,3";"3,4";"1,5";"7,7";"-";"1,1";"-";"1,9";"-";"1,4";"0,9";"-";"-";"1,4";"-";"1,9";"1,9";"2,7";"3,4"
"Tedesco parlato";"3,3";"14,0";"3,7";"1,3";"1,7";"1,5";"9,0";"1,2";"1,1";"-";"1,5";"-";"1,3";"1,8";"-";"0,9";"1,5";"-";"1,9";"1,9";"2,3";"3,7"
"Strumenti informatici: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Navigazione in Internet e comunicazione in rete (e-mail, blog, forum, social network, ...)";"89,2";"91,1";"93,3";"91,3";"96,6";"88,7";"84,6";"92,7";"88,6";"96,8";"82,1";"85,5";"87,9";"80,7";"88,7";"88,2";"89,0";"95,7";"83,5";"89,7";"89,3";"90,9"
"Word processor (elaborazione di testi)";"79,3";"83,7";"85,8";"83,1";"91,4";"75,8";"70,5";"90,2";"79,9";"95,9";"70,7";"73,9";"75,3";"65,1";"84,9";"86,4";"79,1";"87,0";"73,8";"75,6";"71,5";"82,2"
"Fogli elettronici (Excel, ...)";"67,7";"59,6";"77,6";"76,3";"93,1";"67,0";"57,7";"95,1";"64,1";"90,0";"59,3";"60,9";"63,1";"60,6";"75,5";"73,6";"66,1";"84,8";"53,4";"77,2";"58,4";"77,7"
"Strumenti di presentazione (PowerPoint, Keynote, Impress, ... )";"62,1";"53,7";"66,4";"78,1";"87,9";"64,4";"44,9";"76,8";"51,0";"85,5";"59,3";"55,1";"66,7";"68,8";"77,4";"75,5";"53,3";"76,1";"50,5";"63,1";"54,0";"71,0"
"Sistemi operativi";"59,8";"64,0";"55,2";"54,4";"65,5";"60,3";"46,2";"56,1";"62,9";"91,8";"56,3";"50,7";"55,7";"48,6";"54,7";"58,2";"58,5";"67,4";"59,2";"54,2";"57,7";"62,0"
"Multimedia (elaborazione di suoni, immagini, video)";"55,8";"57,6";"51,5";"56,3";"56,9";"58,8";"44,9";"45,1";"51,6";"75,5";"45,6";"27,5";"56,7";"52,3";"56,6";"49,1";"61,0";"54,3";"51,5";"52,6";"54,7";"55,0"
"Linguaggi di programmazione";"26,7";"22,4";"16,4";"12,5";"34,5";"21,6";"17,9";"58,5";"27,9";"94,1";"19,8";"62,3";"19,5";"17,4";"20,8";"22,7";"26,6";"21,7";"27,2";"24,7";"30,9";"24,5"
"Data base (Oracle, SQL server, Access, ...)";"28,5";"26,2";"25,4";"18,8";"34,5";"23,2";"15,4";"20,7";"27,0";"91,4";"28,1";"13,0";"23,4";"17,4";"22,6";"27,3";"27,2";"41,3";"21,4";"31,7";"27,5";"31,0"
"Realizzazione siti web";"17,8";"16,7";"13,4";"10,0";"19,0";"11,3";"16,7";"8,5";"14,0";"77,3";"15,6";"5,8";"16,1";"11,0";"11,3";"15,5";"16,2";"13,0";"23,3";"15,7";"16,1";"17,8"
"Reti di trasmissione dati";"25,5";"25,9";"14,2";"17,5";"25,9";"27,3";"17,9";"15,9";"24,8";"68,6";"26,6";"8,7";"22,6";"20,2";"22,6";"28,2";"26,4";"17,4";"25,2";"22,4";"30,9";"21,7"
"CAD/CAM/CAE - Progettazione assistita";"14,4";"12,8";"9,0";"11,9";"12,1";"18,0";"7,7";"14,6";"17,9";"16,8";"13,3";"8,7";"14,2";"15,6";"32,1";"21,8";"14,2";"28,3";"18,4";"13,1";"16,1";"11,8"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Intendono proseguire gli studi (%)";"69,8";"71,1";"90,3";"75,6";"69,0";"59,3";"78,2";"91,5";"72,4";"50,9";"57,0";"76,8";"76,3";"71,6";"66,0";"69,1";"68,3";"65,2";"76,7";"76,9";"67,4";"59,7"
"Laurea triennale";"1,1";"1,6";"-";"-";"-";"0,5";"1,3";"-";"0,4";"1,4";"4,2";"1,4";"2,0";"-";"-";"-";"0,9";"-";"1,0";"-";"1,3";"0,2"
"Laurea magistrale";"34,5";"47,7";"79,1";"29,4";"51,7";"7,2";"46,2";"62,2";"3,9";"34,5";"29,7";"62,3";"15,2";"15,6";"49,1";"44,5";"37,5";"43,5";"56,3";"62,2";"42,6";"39,1"
"Dottorato di ricerca";"3,7";"3,7";"3,7";"16,9";"8,6";"10,3";"7,7";"22,0";"5,4";"1,8";"2,3";"2,9";"0,7";"6,4";"7,5";"6,4";"2,4";"6,5";"5,8";"1,3";"2,0";"2,3"
"Diploma accademico (Alta Formazione Artistica e Musicale) ";"0,1";"0,1";"-";"-";"-";"-";"-";"-";"-";"0,5";"-";"-";"0,2";"-";"-";"-";"0,1";"2,2";"-";"-";"-";"-"
"Scuola di specializzazione post-laurea";"7,5";"0,8";"0,7";"5,0";"-";"10,3";"-";"2,4";"16,4";"0,9";"3,8";"-";"24,2";"23,9";"-";"1,8";"4,3";"2,2";"2,9";"0,6";"3,0";"0,5"
"Master universitario";"11,9";"8,7";"3,7";"13,8";"6,9";"17,0";"9,0";"2,4";"10,8";"4,1";"4,6";"5,8";"24,6";"6,4";"3,8";"6,4";"11,4";"4,3";"4,9";"7,1";"11,4";"11,5"
"Altro tipo di master o corso di perfezionamento";"3,3";"3,3";"1,5";"4,4";"-";"4,1";"5,1";"-";"5,2";"3,2";"1,9";"-";"5,0";"5,5";"1,9";"2,7";"3,9";"2,2";"1,9";"1,6";"1,3";"1,6"
"Tirocinio, praticantato";"4,4";"2,7";"-";"3,1";"-";"5,7";"3,8";"1,2";"25,9";"0,5";"8,4";"1,4";"0,7";"10,1";"-";"1,8";"3,2";"2,2";"-";"2,2";"2,3";"3,4"
"Attività sostenuta da borsa o assegno di studio";"0,6";"0,7";"0,7";"2,5";"1,7";"2,1";"1,3";"1,2";"0,6";"0,5";"-";"1,4";"0,4";"0,9";"1,9";"2,7";"0,2";"-";"1,0";"-";"-";"0,5"
"Altre attività di qualificazione professionale";"2,5";"1,6";"0,7";"-";"-";"1,5";"2,6";"-";"3,7";"3,6";"2,3";"1,4";"3,0";"1,8";"1,9";"2,7";"4,2";"2,2";"2,9";"1,9";"3,4";"0,8"
"Non intendono proseguire";"29,8";"28,3";"9,0";"23,8";"31,0";"40,7";"21,8";"7,3";"27,2";"48,2";"43,0";"23,2";"23,2";"28,4";"34,0";"30,9";"31,4";"30,4";"23,3";"23,1";"31,9";"39,7"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Acquisti";"23,2";"24,8";"17,9";"15,6";"12,1";"24,2";"19,2";"6,1";"24,6";"14,5";"33,8";"20,3";"12,0";"20,2";"24,5";"35,5";"20,8";"17,4";"16,5";"35,3";"24,2";"40,2"
"Amministrazione, contabilità";"31,2";"22,3";"17,2";"14,4";"15,5";"18,6";"34,6";"12,2";"56,8";"22,7";"55,9";"43,5";"16,0";"18,3";"28,3";"22,7";"18,6";"8,7";"18,4";"65,7";"41,9";"57,5"
"Assistenza tecnica";"17,6";"12,3";"14,2";"15,0";"19,0";"16,0";"19,2";"12,2";"22,0";"30,9";"29,3";"27,5";"12,6";"20,2";"43,4";"30,9";"13,0";"19,6";"16,5";"20,5";"21,5";"19,1"
"Commerciale, vendite";"26,8";"29,3";"16,4";"18,8";"15,5";"47,4";"28,2";"6,1";"32,6";"15,5";"36,1";"23,2";"13,1";"25,7";"28,3";"36,4";"24,4";"23,9";"17,5";"41,7";"27,9";"39,2"
"Controllo di gestione";"29,8";"19,7";"16,4";"20,6";"19,0";"25,8";"28,2";"14,6";"41,0";"26,4";"47,1";"40,6";"15,9";"28,4";"39,6";"50,0";"21,0";"15,2";"17,5";"56,4";"37,9";"53,5"
"Finanza";"22,1";"11,3";"10,4";"10,0";"12,1";"9,8";"11,5";"19,5";"41,0";"15,0";"43,0";"56,5";"9,6";"11,0";"13,2";"16,4";"8,7";"8,7";"7,8";"61,2";"24,5";"49,6"
