"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Realizzazione siti web";"15,0";"18,6";"15,7";"12,4";"12,0";"11,6";"6,8";"9,0";"13,0";"13,0";"10,4";"34,3";"12,0"
"Reti di trasmissione dati";"17,8";"24,0";"17,3";"15,8";"17,5";"14,9";"13,4";"14,7";"14,3";"14,1";"16,3";"26,6";"18,8"
"CAD/CAM/CAE - Progettazione assistita";"10,2";"26,4";"7,8";"9,5";"11,4";"10,8";"6,1";"11,0";"10,4";"5,4";"7,9";"14,8";"10,3"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Intendono proseguire gli studi (%)";"74,3";"60,5";"67,8";"44,8";"76,2";"85,4";"76,0";"86,8";"74,0";"93,5";"79,9";"69,0";"69,9"
"Laurea triennale";"1,0";"0,8";"0,8";"-";"0,5";"1,2";"0,3";"1,3";"-";"1,1";"2,4";"0,2";"2,1"
"Laurea specialistica/magistrale";"32,3";"23,3";"35,4";"4,1";"20,9";"39,4";"34,6";"26,4";"9,1";"78,3";"38,3";"38,2";"30,1"
"Dottorato di ricerca";"5,2";"11,6";"2,4";"7,5";"3,4";"6,8";"4,5";"2,4";"11,7";"13,0";"4,4";"10,1";"3,1"
"Scuola di specializzazione post-laurea";"9,7";"1,6";"1,8";"10,0";"7,9";"17,7";"9,6";"36,7";"28,6";"-";"9,1";"7,1";"1,0"
"Master universitario";"8,6";"10,9";"12,1";"5,0";"8,9";"7,3";"8,8";"7,3";"5,2";"1,1";"9,5";"3,5";"16,1"
"Altro tipo di master o corso di perfezionamento";"5,8";"3,9";"6,1";"7,9";"4,6";"6,6";"9,8";"6,8";"2,6";"-";"6,3";"2,9";"8,6"
"Tirocinio, praticantato";"6,8";"3,1";"6,6";"2,9";"26,0";"0,5";"2,5";"1,5";"7,8";"-";"4,9";"1,0";"4,1"
"Attività sostenuta da borsa o assegno di studio";"1,1";"2,3";"0,5";"1,2";"0,9";"1,7";"2,0";"-";"2,6";"-";"0,8";"1,8";"2,4"
"Altre attività di qualificazione professionale";"3,3";"3,1";"1,8";"5,4";"2,8";"3,8";"3,5";"4,2";"6,5";"-";"3,9";"3,8";"2,4"
"Non intendono proseguire";"24,9";"39,5";"31,4";"55,2";"22,8";"14,4";"23,2";"11,0";"22,1";"6,5";"19,2";"30,4";"29,1"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Acquisti";"19,4";"27,1";"35,9";"15,4";"23,7";"15,3";"21,2";"9,2";"18,2";"15,2";"9,4";"14,5";"23,3"
"Amministrazione, contabilità";"37,2";"27,1";"72,1";"13,7";"56,1";"27,1";"24,5";"11,4";"13,0";"8,7";"26,8";"21,8";"52,7"
"Assistenza tecnica";"16,4";"42,6";"21,9";"16,6";"18,9";"9,7";"9,8";"10,5";"18,2";"6,5";"8,6";"24,1";"18,2"
"Commerciale, vendite";"30,0";"41,1";"46,2";"56,0";"33,2";"22,4";"36,6";"11,4";"27,3";"14,1";"21,1";"20,9";"33,2"
"Controllo di gestione";"33,3";"41,1";"65,7";"26,1";"40,7";"20,8";"19,2";"13,2";"28,6";"22,8";"21,7";"24,6";"42,8"
"Finanza";"23,6";"14,7";"62,7";"7,1";"35,9";"9,4";"8,3";"7,0";"11,7";"8,7";"6,6";"16,5";"28,8"
"Legale";"22,7";"9,3";"19,6";"3,7";"88,7";"8,0";"6,8";"11,2";"10,4";"6,5";"7,5";"8,5";"27,7"
"Logistica, distribuzione";"21,4";"31,8";"42,4";"20,7";"23,9";"14,6";"17,7";"11,0";"26,0";"16,3";"8,9";"18,4";"24,3"
"Marketing, comunicazione, pubbliche relazioni";"48,7";"33,3";"67,3";"39,4";"56,6";"62,5";"66,7";"15,2";"19,5";"19,6";"48,8";"25,3";"63,7"
"Organizzazione, pianificazione";"49,3";"48,1";"70,5";"36,5";"55,1";"52,8";"49,7";"23,1";"29,9";"30,4";"48,1";"33,1";"63,4"
"Produzione";"28,4";"55,8";"34,3";"51,9";"30,5";"21,2";"19,2";"13,8";"41,6";"34,8";"18,4";"35,5";"30,8"
"Ricerca e sviluppo";"55,0";"55,8";"51,1";"70,5";"42,2";"59,9";"46,5";"42,6";"59,7";"87,0";"54,8";"73,4";"55,5"
"Risorse umane, selezione, formazione";"58,5";"33,3";"60,1";"39,4";"60,1";"77,8";"66,9";"32,1";"39,0";"25,0";"81,6";"33,0";"72,3"
"Segreteria, affari generali";"26,7";"19,4";"33,4";"11,6";"37,2";"34,2";"39,4";"14,1";"22,1";"14,1";"18,7";"17,4";"41,4"
"Sistemi informativi, EDP";"16,5";"17,1";"22,4";"9,1";"13,6";"10,8";"11,9";"8,8";"16,9";"8,7";"10,6";"32,4";"17,5"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Acquisizione di professionalità";"86,2";"79,8";"86,3";"92,9";"86,6";"82,1";"84,6";"87,9";"80,5";"87,0";"87,4";"85,3";"86,6"
"Possibilità di carriera";"71,3";"70,5";"80,3";"72,2";"82,1";"58,5";"66,7";"65,1";"55,8";"60,9";"69,3";"66,3";"71,2"
"Possibilità di guadagno";"63,6";"69,8";"66,3";"64,7";"71,0";"53,1";"63,1";"60,7";"55,8";"57,6";"65,0";"59,0";"60,3"
"Stabilità/sicurezza del posto di lavoro";"72,5";"72,9";"65,0";"80,1";"76,0";"70,0";"72,5";"73,2";"70,1";"71,7";"76,1";"73,4";"69,5"
"Rispondenza a interessi culturali";"47,3";"42,6";"37,9";"58,1";"45,5";"61,6";"47,7";"55,2";"58,4";"45,7";"48,4";"45,7";"43,5"
"Coerenza con gli studi";"51,6";"48,1";"47,7";"69,3";"47,2";"41,3";"38,1";"75,8";"62,3";"53,3";"53,5";"55,7";"39,4"
"Indipendenza o autonomia";"49,9";"51,9";"48,9";"51,0";"55,4";"47,2";"46,7";"52,5";"59,7";"42,4";"49,9";"47,1";"47,9"
"Tempo libero";"25,1";"33,3";"22,5";"28,2";"21,4";"22,9";"21,5";"35,2";"36,4";"21,7";"26,6";"25,3";"23,6"
"Tipo di lavoro cercato (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Nessuna preferenza";"52,1";"42,6";"44,8";"56,4";"47,5";"56,4";"59,8";"51,2";"51,9";"59,8";"53,5";"58,8";"50,0"
"Alle dipendenze nel settore pubblico";"22,9";"20,9";"13,1";"7,1";"24,4";"33,3";"20,2";"37,1";"15,6";"14,1";"29,3";"17,6";"27,7"
"Alle dipendenze nel settore privato";"16,1";"19,4";"29,7";"30,3";"10,8";"6,8";"15,9";"5,3";"13,0";"23,9";"11,8";"17,3";"13,0"
"In conto proprio";"7,6";"14,0";"11,1";"6,2";"16,3";"3,1";"2,8";"4,2";"15,6";"2,2";"4,3";"5,2";"6,2"
"Disponibilità a lavorare per tipo di relazione contrattuale: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"ORARIO/MODALITA' LAVORATIVA";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Tempo pieno";"88,1";"79,8";"91,0";"93,4";"88,0";"88,9";"83,3";"86,8";"72,7";"87,0";"87,8";"88,2";"89,7"
"Part-time";"38,9";"29,5";"36,3";"28,2";"37,4";"46,9";"48,5";"35,8";"36,4";"44,6";"42,3";"35,5";"40,1"
"Telelavoro";"15,1";"10,9";"14,6";"11,2";"15,6";"17,0";"13,9";"13,0";"20,8";"15,2";"13,9";"18,1";"18,2"
"CONTRATTO";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Tempo indeterminato";"90,5";"85,3";"92,9";"88,4";"92,0";"89,6";"87,6";"88,4";"75,3";"89,1";"91,6";"90,1";"91,1"
"A tempo determinato";"31,1";"25,6";"34,3";"28,2";"29,0";"31,8";"31,1";"30,8";"32,5";"34,8";"29,0";"33,0";"31,2"
"Collaborazione (compreso lavoro a progetto)";"32,5";"31,0";"30,4";"30,3";"30,0";"34,2";"32,6";"30,5";"45,5";"37,0";"33,0";"35,9";"34,2"
"Inserimento (ex formazione e lavoro)";"31,6";"24,0";"33,8";"31,1";"31,0";"35,4";"30,8";"28,4";"32,5";"32,6";"29,0";"32,8";"35,6"
"Stage";"32,8";"24,0";"36,8";"30,7";"34,8";"36,6";"37,1";"26,4";"42,9";"39,1";"27,8";"31,5";"35,3"
"Apprendistato";"22,0";"17,8";"22,5";"17,4";"24,0";"26,4";"23,2";"16,9";"27,3";"27,2";"19,8";"23,0";"22,9"
"Lavoro interinale";"21,1";"18,6";"23,2";"18,3";"21,0";"21,5";"23,0";"19,1";"28,6";"29,3";"17,6";"22,6";"23,3"
"Autonomo/in conto proprio";"36,1";"45,7";"39,4";"33,2";"49,1";"30,2";"28,5";"41,5";"57,1";"41,3";"23,7";"37,7";"32,9"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Provincia di residenza";"78,3";"77,5";"77,7";"82,6";"80,2";"77,8";"69,4";"77,8";"75,3";"77,2";"79,2";"81,1";"75,3"
"Sede degli studi";"76,1";"70,5";"78,8";"72,6";"79,4";"75,9";"70,2";"72,7";"68,8";"73,9";"76,3";"77,3";"74,3"
"Italia settentrionale";"40,4";"25,6";"45,9";"36,5";"40,7";"43,2";"39,9";"38,9";"48,1";"55,4";"32,2";"46,1";"38,7"
"Italia centrale";"44,8";"27,1";"49,4";"46,1";"45,9";"48,6";"45,7";"40,0";"51,9";"60,9";"36,7";"49,1";"45,9"
"Italia meridionale";"49,9";"46,5";"51,3";"55,6";"50,1";"49,3";"47,2";"48,8";"63,6";"60,9";"43,0";"55,7";"50,7"
"Stato europeo";"36,4";"27,9";"39,8";"41,5";"34,5";"33,3";"56,6";"35,2";"48,1";"58,7";"23,4";"39,7";"41,1"
"Stato extraeuropeo";"22,6";"20,9";"25,6";"22,4";"23,2";"20,0";"32,1";"21,8";"35,1";"43,5";"11,6";"27,1";"25,0"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"40,9";"40,3";"46,3";"42,7";"40,5";"41,0";"45,5";"37,6";"40,3";"54,3";"30,7";"45,3";"44,9"
"Sì, anche frequenti (senza cambi di residenza)";"32,4";"31,8";"32,6";"36,5";"34,0";"31,1";"34,6";"26,4";"33,8";"26,1";"33,0";"31,6";"32,9"
"Sì, ma solo in numero limitato";"21,9";"22,5";"17,0";"16,6";"20,2";"25,0";"16,7";"27,0";"16,9";"19,6";"31,2";"18,5";"17,1"
"Non disponibili a trasferte";"2,8";"1,6";"2,4";"3,3";"3,3";"1,9";"2,0";"5,1";"2,6";"-";"3,5";"2,1";"2,4"
