"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Attività di lavoro successivamente riconosciute dal corso";"6,2";"10,2";"0,9";"-";"4,9";"4,1";"1,0";"-";"0,8";"3,7";"9,9";"-";"0,9";"8,7";"4,2";"7,1";"14,5";"12,2";"1,9";"5,0";"1,6";"11,0"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"41,9";"43,7";"54,8";"11,6";"19,8";"11,3";"72,4";"44,2";"96,8";"21,4";"53,2";"94,9";"23,4";"15,4";"29,2";"22,0";"25,4";"17,1";"68,6";"86,3";"45,3";"58,7"
"Mesi impiegati per la tesi/prova finale (medie)";"5,4";"6,0";"3,7";"5,7";"7,4";"4,5";"6,7";"4,6";"6,1";"5,5";"5,2";"4,9";"6,2";"9,7";"5,7";"4,9";"5,4";"6,5";"7,8";"3,1";"4,0";"3,5"
"6. LAVORO DURANTE GLI STUDI"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Hanno esperienze di lavoro (%) ";"63,4";"71,4";"53,0";"37,6";"54,3";"50,8";"65,7";"50,0";"65,7";"70,2";"57,9";"62,7";"48,6";"59,6";"75,0";"76,4";"70,6";"65,9";"68,6";"75,1";"72,0";"71,5"
"Lavoratori-studenti";"5,7";"5,7";"1,7";"-";"3,7";"1,0";"3,8";"-";"4,4";"11,2";"11,7";"1,7";"2,2";"4,8";"6,3";"3,9";"8,4";"-";"4,8";"10,0";"11,3";"7,6"
"Altre esperienze di lavoro con continuità a tempo pieno";"2,7";"3,8";"1,7";"0,5";"1,2";"0,5";"1,9";"3,8";"1,2";"5,1";"2,3";"3,4";"2,2";"1,9";"6,3";"5,5";"4,2";"4,9";"1,0";"1,2";"3,5";"1,9"
"Lavoro a tempo parziale";"18,8";"20,3";"11,3";"10,6";"13,6";"16,4";"18,1";"1,9";"20,6";"20,5";"16,4";"20,3";"12,7";"18,3";"16,7";"20,5";"21,0";"12,2";"30,5";"24,5";"19,6";"26,6"
"Lavoro occasionale, saltuario, stagionale";"36,2";"41,5";"38,3";"26,5";"35,8";"32,8";"41,9";"44,2";"39,5";"33,5";"27,5";"37,3";"31,5";"34,6";"45,8";"46,5";"36,9";"48,8";"32,4";"39,4";"37,6";"35,3"
"Nessuna esperienza di lavoro";"36,2";"28,4";"46,1";"62,4";"44,4";"47,2";"33,3";"46,2";"34,1";"29,3";"42,1";"37,3";"51,3";"40,4";"25,0";"22,8";"29,1";"34,1";"31,4";"23,2";"28,0";"28,1"
"Lavoro coerente con gli studi";"14,1";"17,9";"1,7";"3,2";"13,6";"4,1";"4,8";"9,6";"6,3";"20,0";"11,7";"32,2";"8,6";"9,6";"31,3";"22,0";"22,0";"4,9";"8,6";"17,8";"10,0";"21,8"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Sono complessivamente soddisfatti del corso di laurea (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"32,5";"24,6";"31,3";"44,4";"40,7";"41,5";"41,9";"48,1";"38,1";"38,6";"41,5";"40,7";"25,6";"26,0";"56,3";"48,0";"32,8";"41,5";"26,7";"31,5";"40,5";"29,2"
"Più sì che no";"49,8";"51,4";"51,3";"48,7";"43,2";"44,1";"46,7";"42,3";"47,8";"53,0";"48,5";"40,7";"47,8";"57,7";"39,6";"41,7";"51,6";"24,4";"53,3";"51,5";"50,5";"56,3"
"Più no che sì";"14,5";"19,7";"16,5";"6,9";"12,3";"11,3";"11,4";"9,6";"11,7";"7,0";"9,4";"15,3";"21,1";"15,4";"2,1";"8,7";"13,4";"26,8";"17,1";"14,1";"6,1";"11,5"
"Decisamente no";"2,7";"3,4";"0,9";"-";"2,5";"2,6";"-";"-";"2,2";"1,4";"0,6";"1,7";"4,9";"1,0";"2,1";"0,8";"1,9";"7,3";"2,9";"1,7";"2,6";"2,6"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"18,4";"16,6";"20,9";"27,5";"33,3";"19,5";"32,4";"36,5";"14,7";"20,9";"24,6";"20,3";"16,4";"19,2";"29,2";"30,7";"19,9";"29,3";"19,0";"14,1";"19,9";"9,8"
"Più sì che no";"59,3";"62,6";"65,2";"61,4";"49,4";"52,3";"56,2";"53,8";"54,4";"66,5";"64,3";"54,2";"53,4";"60,6";"52,1";"58,3";"64,7";"68,3";"63,8";"57,7";"64,3";"59,2"
"Più no che sì";"19,3";"19,0";"13,0";"10,1";"13,6";"24,6";"11,4";"7,7";"26,2";"12,1";"9,9";"23,7";"26,0";"18,3";"16,7";"10,2";"13,4";"2,4";"14,3";"21,6";"14,1";"25,8"
"Decisamente no";"2,2";"0,9";"0,9";"0,5";"2,5";"2,1";"-";"1,9";"4,0";"0,5";"1,2";"-";"3,2";"1,9";"2,1";"0,8";"1,4";"-";"1,0";"5,0";"0,3";"4,7"
"Sono soddisfatti dei rapporti con gli studenti (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"55,5";"53,2";"49,6";"61,4";"64,2";"59,5";"54,3";"57,7";"48,2";"57,2";"56,7";"55,9";"53,1";"52,9";"72,9";"60,6";"57,1";"56,1";"53,3";"58,5";"55,9";"59,4"
"Più sì che no";"37,7";"37,9";"44,3";"33,3";"27,2";"36,9";"42,9";"36,5";"42,7";"35,3";"35,1";"39,0";"39,3";"42,3";"25,0";"32,3";"37,4";"36,6";"40,0";"33,2";"38,6";"35,3"
"Più no che sì";"4,7";"6,0";"5,2";"4,8";"4,9";"2,1";"1,9";"3,8";"6,5";"5,1";"5,8";"3,4";"5,4";"3,8";"2,1";"4,7";"3,9";"4,9";"5,7";"4,6";"3,5";"3,4"
"Decisamente no";"0,9";"1,5";"-";"-";"2,5";"0,5";"1,0";"1,9";"1,4";"1,9";"1,8";"-";"0,6";"1,0";"-";"0,8";"0,7";"-";"-";"1,2";"0,3";"0,6"
"Valutazione delle aule (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sempre o quasi sempre adeguate";"13,7";"11,2";"20,0";"23,8";"19,8";"17,4";"9,5";"42,3";"7,9";"30,2";"25,1";"22,0";"15,4";"37,5";"16,7";"12,6";"5,8";"22,0";"9,5";"11,2";"10,0";"12,4"
"Spesso adeguate";"40,6";"41,9";"44,3";"45,5";"44,4";"55,9";"41,0";"50,0";"37,5";"58,6";"42,1";"61,0";"35,0";"44,2";"54,2";"54,3";"27,3";"48,8";"43,8";"50,2";"39,9";"46,9"
"Raramente adeguate";"36,7";"40,6";"28,7";"27,0";"27,2";"25,1";"41,9";"5,8";"42,9";"8,8";"26,3";"6,8";"38,3";"17,3";"29,2";"24,4";"49,5";"26,8";"41,9";"32,8";"38,6";"36,1"
"Mai adeguate";"7,7";"4,8";"7,0";"3,2";"7,4";"1,0";"4,8";"1,9";"10,5";"1,4";"4,1";"3,4";"10,6";"1,0";"-";"8,7";"15,8";"2,4";"2,9";"2,9";"8,4";"2,9"
"Non utilizzate";"0,9";"0,9";"-";"-";"-";"-";"1,9";"-";"0,8";"0,9";"1,8";"5,1";"0,1";"-";"-";"-";"1,4";"-";"-";"1,7";"2,9";"1,5"
"Valutazione delle postazioni informatiche (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Presenti e in numero adeguato";"20,4";"23,0";"24,3";"43,4";"21,0";"40,5";"9,5";"44,2";"15,3";"60,0";"41,5";"40,7";"13,1";"54,8";"25,0";"19,7";"6,1";"48,8";"12,4";"23,7";"6,8";"20,8"
"Presenti, ma in numero inadeguato";"40,2";"52,7";"30,4";"30,7";"45,7";"44,6";"51,4";"34,6";"45,2";"33,5";"29,2";"42,4";"38,8";"35,6";"47,9";"36,2";"32,9";"41,5";"42,9";"50,2";"26,7";"43,7"
"Non presenti";"18,1";"5,7";"16,5";"11,6";"25,9";"1,5";"11,4";"17,3";"12,1";"1,4";"9,4";"3,4";"33,4";"3,8";"16,7";"14,2";"31,2";"4,9";"18,1";"6,2";"25,7";"10,2"
"Non utilizzate";"20,7";"17,5";"28,7";"12,7";"6,2";"12,3";"25,7";"3,8";"27,2";"5,1";"19,9";"11,9";"13,9";"4,8";"10,4";"29,9";"29,4";"4,9";"24,8";"18,7";"40,2";"25,2"
"Valutazione delle biblioteche (prestito/consultazione, orari di apertura ...) (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente positiva";"17,9";"20,5";"14,8";"8,5";"14,8";"24,6";"25,7";"19,2";"17,9";"14,0";"21,6";"27,1";"15,8";"47,1";"25,0";"25,2";"15,2";"22,0";"21,9";"19,9";"12,5";"16,6"
"Abbastanza positiva";"52,3";"60,4";"53,0";"35,4";"46,9";"53,8";"56,2";"55,8";"56,5";"48,8";"46,2";"52,5";"43,2";"42,3";"60,4";"52,8";"57,8";"58,5";"57,1";"53,9";"55,3";"52,9"
"Abbastanza negativa";"10,7";"10,5";"8,7";"14,8";"16,0";"9,7";"12,4";"13,5";"15,1";"13,5";"17,5";"11,9";"10,1";"5,8";"2,1";"3,9";"9,8";"4,9";"13,3";"6,6";"11,6";"9,7"
"Decisamente negativa";"4,9";"2,9";"4,3";"6,3";"12,3";"2,6";"-";"1,9";"6,0";"1,4";"4,7";"3,4";"10,3";"1,0";"2,1";"1,6";"3,5";"4,9";"3,8";"2,5";"3,9";"3,1"
"Non utilizzate";"13,3";"4,8";"18,3";"32,8";"8,6";"8,2";"2,9";"9,6";"3,8";"21,9";"9,4";"3,4";"19,7";"3,8";"10,4";"16,5";"13,3";"9,8";"1,0";"15,4";"15,8";"16,9"
"Ritengono che il carico di studio degli insegnamenti sia stato sostenibile (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Decisamente sì";"29,8";"27,8";"26,1";"27,5";"27,2";"19,5";"49,5";"23,1";"31,0";"28,8";"29,2";"27,1";"27,6";"22,1";"39,6";"44,9";"35,6";"22,0";"26,7";"27,0";"34,1";"27,4"
"Più sì che no";"55,7";"60,7";"53,9";"55,6";"48,1";"54,4";"45,7";"42,3";"55,0";"60,0";"55,0";"54,2";"53,1";"56,7";"47,9";"44,1";"56,6";"63,4";"52,4";"59,3";"54,7";"58,5"
"Si iscriverebbero di nuovo all'università? (%) ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, allo stesso corso dell'Ateneo";"56,5";"45,6";"56,5";"72,5";"74,1";"53,8";"72,4";"67,3";"62,7";"74,0";"69,6";"69,5";"47,0";"50,0";"75,0";"77,2";"55,4";"65,9";"44,8";"58,1";"65,0";"57,4"
"Sì, ma ad un altro corso dell'Ateneo";"7,1";"8,0";"13,0";"7,9";"3,7";"8,7";"9,5";"-";"6,0";"6,0";"4,1";"1,7";"5,8";"17,3";"4,2";"6,3";"9,8";"12,2";"7,6";"6,2";"6,8";"4,0"
"Sì, allo stesso corso ma in un altro Ateneo";"24,1";"24,7";"21,7";"9,5";"7,4";"25,1";"11,4";"17,3";"17,9";"9,8";"12,9";"22,0";"39,3";"19,2";"14,6";"11,8";"19,8";"7,3";"25,7";"24,5";"15,8";"30,8"
"Sì, ma ad un altro corso e in un altro Ateneo";"8,0";"13,8";"8,7";"5,8";"9,9";"9,2";"3,8";"11,5";"9,7";"6,0";"8,8";"5,1";"4,3";"6,7";"4,2";"3,9";"9,5";"7,3";"14,3";"7,9";"9,3";"4,7"
"Non si iscriverebbero più all'università";"3,8";"6,8";"-";"2,1";"3,7";"2,6";"2,9";"3,8";"3,2";"3,7";"3,5";"-";"2,8";"6,7";"2,1";"0,8";"5,3";"7,3";"7,6";"2,9";"2,6";"2,9"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Lingue straniere: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Inglese scritto";"74,1";"89,5";"72,2";"84,7";"81,5";"72,3";"76,2";"92,3";"66,3";"80,9";"71,3";"81,4";"72,4";"57,7";"62,5";"60,6";"68,3";"78,0";"64,8";"75,5";"69,1";"74,8"
"Inglese parlato";"69,5";"85,7";"67,8";"75,1";"76,5";"65,6";"73,3";"75,0";"64,9";"68,4";"67,3";"69,5";"67,3";"56,7";"58,3";"57,5";"64,2";"65,9";"59,0";"71,4";"69,1";"70,3"
"Francese scritto";"25,2";"45,6";"16,5";"15,3";"7,4";"21,5";"28,6";"7,7";"20,2";"10,2";"31,6";"16,9";"20,0";"14,4";"6,3";"19,7";"24,8";"17,1";"29,5";"25,3";"36,0";"25,5"
"Francese parlato";"25,5";"45,6";"13,9";"15,9";"9,9";"22,1";"24,8";"3,8";"21,4";"8,4";"31,0";"15,3";"20,6";"15,4";"6,3";"20,5";"25,3";"12,2";"24,8";"25,3";"38,9";"26,1"
"Spagnolo scritto";"11,6";"33,1";"2,6";"2,6";"-";"6,2";"10,5";"1,9";"6,5";"1,4";"5,3";"-";"8,6";"9,6";"8,3";"2,4";"8,8";"2,4";"13,3";"14,1";"8,4";"16,3"
"Spagnolo parlato";"12,4";"34,6";"2,6";"2,6";"-";"7,2";"10,5";"-";"7,7";"1,4";"6,4";"-";"8,8";"8,7";"8,3";"4,7";"9,6";"2,4";"17,1";"14,5";"9,0";"17,7"
"Tedesco scritto";"3,2";"14,7";"1,7";"1,1";"-";"1,0";"2,9";"-";"0,6";"0,5";"1,2";"3,4";"1,4";"1,9";"2,1";"-";"1,6";"-";"3,8";"2,9";"1,6";"2,6"
"Tedesco parlato";"3,0";"13,9";"1,7";"1,1";"-";"1,0";"1,9";"-";"0,6";"0,9";"1,2";"3,4";"1,0";"1,9";"2,1";"-";"1,2";"-";"5,7";"2,5";"1,9";"2,6"
"Strumenti informatici: conoscenza "almeno buona" (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Navigazione in Internet";"91,5";"92,3";"87,0";"93,7";"92,6";"87,2";"91,4";"94,2";"91,5";"98,6";"90,6";"89,8";"91,7";"81,7";"91,7";"90,6";"91,7";"90,2";"91,4";"92,9";"89,4";"91,1"
"Word processor (elaborazione di testi)";"80,5";"84,3";"76,5";"84,1";"84,0";"69,2";"79,0";"96,2";"79,6";"95,3";"82,5";"83,1";"78,4";"73,1";"75,0";"78,0";"78,6";"80,5";"78,1";"79,7";"76,8";"83,9"
"Fogli elettronici (Excel, ...)";"68,7";"60,2";"77,4";"76,2";"82,7";"58,5";"59,0";"90,4";"61,1";"93,0";"76,6";"71,2";"66,1";"62,5";"64,6";"76,4";"66,3";"78,0";"50,5";"79,7";"64,6";"81,3"
"Sistemi operativi";"62,5";"64,3";"58,3";"64,6";"70,4";"52,8";"56,2";"78,8";"63,9";"93,0";"72,5";"55,9";"57,9";"47,1";"37,5";"57,5";"59,5";"56,1";"61,9";"65,1";"57,2";"69,5"
"Multimedia (elaborazione di suoni, immagini, video)";"57,9";"57,1";"53,0";"52,4";"56,8";"60,5";"50,5";"53,8";"51,2";"76,3";"60,2";"33,9";"60,1";"56,7";"50,0";"62,2";"58,8";"43,9";"50,5";"57,3";"59,2";"59,0"
"Linguaggi di programmazione";"27,1";"22,8";"13,0";"17,5";"37,0";"22,1";"13,3";"61,5";"23,2";"93,5";"26,9";"55,9";"23,9";"16,3";"6,3";"19,7";"25,9";"24,4";"21,0";"28,2";"24,1";"31,3"
"Data base (Oracle, SQL server, Access, ...)";"31,7";"29,6";"20,0";"22,8";"34,6";"29,2";"21,9";"28,8";"28,2";"87,4";"39,8";"25,4";"27,2";"21,2";"16,7";"22,8";"28,6";"24,4";"24,8";"37,8";"28,0";"43,1"
"Realizzazione siti web";"18,8";"16,3";"7,8";"12,7";"14,8";"21,0";"10,5";"21,2";"16,5";"74,9";"17,5";"5,1";"19,3";"10,6";"8,3";"14,2";"16,2";"12,2";"10,5";"16,2";"17,7";"21,0"
"Reti di trasmissione dati";"26,2";"23,5";"15,7";"20,6";"16,0";"28,2";"21,9";"15,4";"23,0";"64,7";"29,8";"16,9";"27,6";"19,2";"14,6";"26,8";"26,0";"9,8";"16,2";"19,9";"29,3";"28,4"
"CAD/CAM/CAE - Progettazione assistita";"14,4";"11,3";"10,4";"12,7";"13,6";"15,9";"12,4";"13,5";"14,9";"20,9";"12,9";"1,7";"16,1";"13,5";"31,3";"17,3";"13,8";"22,0";"18,1";"8,7";"17,0";"14,0"
"9. PROSPETTIVE DI STUDIO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Intendono proseguire gli studi (%)";"69,7";"67,5";"86,1";"79,9";"70,4";"46,7";"82,9";"86,5";"74,6";"48,8";"60,2";"69,5";"77,4";"71,2";"62,5";"58,3";"70,6";"78,0";"73,3";"69,7";"69,5";"60,3"
"Laurea triennale";"0,8";"0,5";"2,6";"-";"-";"0,5";"1,0";"-";"-";"0,5";"0,6";"-";"2,0";"1,0";"-";"0,8";"1,0";"2,4";"-";"-";"0,3";"0,2"
"Laurea specialistica/magistrale";"33,1";"42,1";"70,4";"35,4";"40,7";"5,6";"51,4";"59,6";"5,4";"32,1";"26,3";"57,6";"18,6";"10,6";"54,2";"44,1";"39,4";"46,3";"40,0";"58,5";"47,6";"38,2"
"Dottorato di ricerca";"4,1";"4,3";"7,0";"21,7";"21,0";"13,3";"10,5";"19,2";"4,8";"3,3";"1,8";"1,7";"0,8";"5,8";"4,2";"3,9";"2,1";"12,2";"5,7";"0,8";"2,9";"1,8"
"Diploma accademico (Alta Formazione Artistica e Musicale) ";"0,3";"1,0";"-";"-";"-";"0,5";"1,0";"-";"0,4";"-";"-";"-";"0,2";"-";"-";"-";"0,2";"-";"-";"-";"-";"-"
"Scuola di specializzazione post-laurea";"8,0";"1,7";"0,9";"10,1";"-";"5,1";"-";"3,8";"16,9";"0,5";"4,1";"-";"21,4";"28,8";"-";"-";"5,2";"-";"7,6";"0,8";"1,6";"0,2"
"Master universitario";"11,6";"7,8";"2,6";"5,3";"6,2";"10,3";"6,7";"3,8";"8,1";"5,6";"5,8";"5,1";"24,5";"8,7";"-";"5,5";"11,0";"4,9";"9,5";"5,0";"9,3";"11,8"
"Altro tipo di master o corso di perfezionamento";"3,4";"4,5";"0,9";"1,1";"-";"4,6";"5,7";"-";"4,2";"2,3";"0,6";"-";"5,0";"3,8";"-";"-";"4,0";"2,4";"2,9";"1,2";"2,6";"2,1"
"Tirocinio, praticantato";"5,0";"2,1";"-";"2,6";"-";"2,1";"1,9";"-";"30,0";"0,9";"17,0";"3,4";"1,8";"6,7";"-";"2,4";"3,4";"-";"1,9";"0,8";"2,3";"4,4"
"Attività sostenuta da borsa o assegno di studio";"0,7";"1,1";"-";"1,6";"2,5";"2,1";"1,0";"-";"1,0";"-";"-";"-";"0,5";"1,9";"-";"0,8";"0,5";"2,4";"1,0";"-";"0,3";"0,6"
"Altre attività di qualificazione professionale";"2,6";"2,4";"1,7";"1,1";"-";"2,6";"2,9";"-";"4,0";"3,7";"3,5";"1,7";"2,4";"3,8";"4,2";"0,8";"3,5";"7,3";"3,8";"2,1";"2,3";"0,8"
"Non intendono proseguire";"29,7";"31,9";"13,0";"18,5";"27,2";"53,3";"15,2";"11,5";"24,4";"51,2";"38,6";"28,8";"22,0";"28,8";"37,5";"41,7";"29,1";"22,0";"26,7";"29,0";"30,2";"39,0"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";""Lettere Lingue Arti". Italianistica e culture comparate (Dip.)";"Biologia (Dip.)";"Bioscienze, biotecnologie e biofarmaceutica (Dip.)";"Chimica (Dip.)";"Farmacia - Scienze del farmaco (Dip.)";"Filosofia, letteratura storia e scienze sociali (FLESS) (Dip.)";"Fisica (interuniversitario) (Dip.)";"Giurisprudenza (Dip.)";"Informatica (Dip.)";"Jonico in sistemi giuridici ed economici del Mediterraneo: societa' ambiente culture (Dip.)";"Matematica (Dip.)";"Medicina (Scuola)";"Medicina veterinaria (Dip.)";"Scienze agro-ambientali e territoriali (Dip.)";"Scienze del suolo, della pianta e degli alimenti (Di.S.S.P.A.) (Dip.)";"Scienze della formazione, psicologia, comunicazione (Dip.)";"Scienze della Terra e geoambientali (Dip.)";"Scienze dell'antichita' e del tardoantico (Dip.)";"Scienze economiche e metodi matematici (Dip.)";"Scienze politiche (Dip.)";"Studi aziendali e giusprivatistici (Dip.)"
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Acquisti";"21,3";"21,2";"13,0";"11,1";"11,1";"26,2";"21,9";"7,7";"24,6";"14,4";"36,8";"13,6";"12,1";"19,2";"25,0";"25,2";"17,2";"19,5";"23,8";"34,0";"22,2";"41,6"
"Amministrazione, contabilità";"30,7";"20,2";"18,3";"10,1";"13,6";"21,0";"27,6";"7,7";"54,4";"22,8";"70,8";"40,7";"17,0";"18,3";"29,2";"23,6";"19,3";"29,3";"25,7";"67,6";"45,0";"60,6"
"Assistenza tecnica";"16,7";"11,1";"13,9";"12,7";"25,9";"19,0";"11,4";"15,4";"22,2";"26,0";"30,4";"20,3";"15,1";"16,3";"47,9";"37,0";"9,2";"29,3";"21,0";"22,0";"15,4";"18,2"
"Commerciale, vendite";"26,5";"28,9";"15,7";"14,3";"13,6";"48,2";"25,7";"5,8";"28,2";"16,7";"38,6";"18,6";"14,8";"25,0";"35,4";"37,0";"23,5";"29,3";"25,7";"43,2";"25,4";"44,5"
"Controllo di gestione";"28,8";"17,9";"20,9";"17,5";"30,9";"25,6";"27,6";"11,5";"41,9";"27,9";"53,8";"37,3";"17,0";"30,8";"39,6";"45,7";"17,8";"29,3";"23,8";"56,0";"35,4";"56,1"
"Finanza";"21,8";"9,7";"12,2";"6,9";"12,3";"12,8";"13,3";"17,3";"42,7";"18,6";"52,0";"42,4";"11,9";"13,5";"18,8";"16,5";"8,6";"22,0";"13,3";"59,8";"25,4";"51,9"
"Legale";"20,0";"10,0";"12,2";"7,9";"9,9";"7,7";"10,5";"5,8";"83,5";"9,3";"55,0";"6,8";"12,7";"14,4";"18,8";"8,7";"9,5";"19,5";"12,4";"21,6";"33,8";"18,5"
"Logistica, distribuzione";"22,9";"18,9";"15,7";"13,2";"17,3";"30,8";"28,6";"11,5";"25,0";"21,9";"45,6";"20,3";"12,3";"21,2";"25,0";"29,1";"15,7";"29,3";"28,6";"43,2";"25,7";"44,0"
