"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Intendono proseguire gli studi (%)";"71,9";"65,9";"63,4";"57,1";"72,9";"82,3";"67,2";"89,4";"71,0";"100,0";"78,9";"66,2";"69,5"
"Laurea specialistica/magistrale";"6,5";"8,9";"2,9";"2,2";"2,5";"4,6";"3,0";"11,9";"2,9";"52,4";"11,2";"12,6";"4,0"
"Dottorato di ricerca";"7,0";"7,4";"3,8";"6,6";"4,0";"12,9";"8,6";"2,2";"13,0";"4,8";"5,0";"14,9";"7,0"
"Scuola di specializzazione post-laurea";"19,2";"11,1";"5,1";"11,0";"13,8";"35,7";"18,0";"63,9";"18,8";"38,1";"27,2";"16,4";"7,0"
"Master universitario";"22,3";"23,7";"32,1";"23,1";"16,4";"21,4";"28,6";"7,0";"14,5";"-";"22,0";"14,0";"37,9"
"Tirocinio, praticantato";"10,4";"4,4";"13,5";"4,9";"33,1";"1,1";"0,7";"1,3";"11,6";"-";"4,6";"2,0";"5,5"
"Attività sostenuta da borsa o assegno di studio";"2,5";"7,4";"2,9";"4,9";"0,8";"2,8";"4,4";"0,9";"4,3";"4,8";"1,1";"3,6";"1,8"
"Altre attività di qualificazione professionale";"3,8";"3,0";"2,9";"3,3";"2,0";"3,5";"3,5";"2,2";"5,8";"-";"7,5";"2,5";"5,9"
"Non intendono proseguire";"27,4";"33,3";"36,0";"42,3";"26,4";"17,3";"32,3";"6,6";"26,1";"-";"20,8";"33,5";"29,8"
"10. PROSPETTIVE DI LAVORO"
"";"Collettivo selezionato";"Agraria (Fac.)";"Economia (attiva fino al 2006) (Fac.)";"Farmacia (Fac.)";"Giurisprudenza (attiva fino al 2006) (Fac.)";"Lettere e filosofia (Fac.)";"Lingue e letterature straniere (Fac.)";"Medicina e chirurgia (Fac.)(1) ";"Medicina veterinaria (Fac.)";"Scienze biotecnologiche (Fac.)";"Scienze della formazione (Fac.)";"Scienze matematiche, fisiche e naturali (attiva fino al 2006) (Fac.)";"Scienze politiche (Fac.)"
"Sono interessati a lavorare nelle seguenti aree aziendali: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Assistenza tecnica";"15,3";"48,1";"19,4";"21,4";"17,9";"9,2";"7,9";"12,8";"21,7";"-";"6,2";"24,0";"8,5"
"Controllo di gestione";"35,6";"48,9";"68,8";"33,0";"40,5";"20,4";"20,5";"12,8";"31,9";"9,5";"23,0";"24,8";"44,9"
"Finanza";"23,2";"11,1";"62,2";"10,4";"34,1";"6,3";"8,1";"7,0";"10,1";"-";"5,5";"14,3";"24,3"
"Legale";"25,5";"8,9";"21,0";"7,1";"87,4";"7,0";"8,4";"6,6";"14,5";"-";"8,2";"8,2";"20,6"
"Marketing, comunicazione, pubbliche relazioni";"54,6";"40,7";"73,3";"41,2";"61,3";"60,8";"69,6";"15,0";"30,4";"14,3";"51,3";"24,6";"74,6"
"Organizzazione, pianificazione";"55,1";"53,3";"71,3";"45,1";"61,2";"56,7";"61,2";"22,5";"31,9";"19,0";"51,8";"33,7";"72,4"
"Produzione";"28,8";"55,6";"39,8";"53,3";"27,0";"18,2";"27,7";"18,5";"34,8";"23,8";"17,3";"32,5";"28,7"
"Ricerca e sviluppo";"61,0";"74,8";"54,8";"79,7";"45,6";"69,4";"61,2";"53,3";"69,6";"95,2";"63,3";"79,3";"55,1"
"Risorse umane, selezione, formazione";"61,2";"43,7";"59,5";"42,3";"55,4";"76,4";"70,1";"39,6";"44,9";"38,1";"80,6";"40,9";"70,2"
"Sistemi informativi, EDP";"16,6";"14,1";"20,4";"12,1";"13,5";"12,3";"12,3";"9,7";"8,7";"4,8";"10,5";"40,6";"9,6"
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Acquisizione di professionalità";"85,1";"85,9";"87,2";"89,0";"85,3";"80,3";"83,5";"90,7";"82,6";"85,7";"86,8";"81,6";"82,7"
"Possibilità di carriera";"66,3";"66,7";"75,8";"63,7";"72,4";"54,7";"61,0";"65,6";"62,3";"61,9";"62,2";"62,9";"67,6"
"Possibilità di guadagno";"59,6";"54,1";"62,5";"61,0";"64,3";"54,5";"60,5";"61,2";"65,2";"33,3";"55,6";"58,1";"58,5"
"Stabilità/sicurezza del posto di lavoro";"64,7";"54,8";"56,5";"66,5";"65,6";"67,2";"70,4";"70,5";"60,9";"71,4";"68,0";"63,9";"64,7"
"Rispondenza a interessi culturali";"42,1";"43,7";"32,4";"47,3";"38,6";"57,1";"49,6";"55,9";"44,9";"38,1";"44,2";"39,1";"33,5"
"Coerenza con gli studi";"47,8";"54,1";"45,7";"64,3";"45,8";"39,6";"41,5";"78,9";"56,5";"57,1";"49,5";"50,6";"29,0"
"Indipendenza o autonomia";"46,0";"51,1";"43,0";"54,9";"49,5";"39,2";"45,7";"56,8";"56,5";"42,9";"48,2";"40,2";"41,2"
"Tempo libero";"22,1";"20,0";"21,7";"25,3";"20,8";"19,9";"25,2";"31,7";"24,6";"19,0";"21,5";"21,8";"19,9"
"Tipo di lavoro cercato (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Nessuna preferenza";"52,3";"63,0";"44,8";"54,9";"48,1";"53,6";"58,0";"52,0";"52,2";"66,7";"51,0";"64,0";"51,5"
"Alle dipendenze nel settore pubblico";"21,1";"10,4";"10,4";"7,7";"22,5";"33,5";"21,7";"36,6";"20,3";"14,3";"29,4";"11,0";"23,2"
"Alle dipendenze nel settore privato";"16,9";"12,6";"32,9";"27,5";"11,3";"9,2";"16,8";"4,8";"8,7";"19,0";"12,0";"19,5";"17,3"
"In conto proprio";"8,5";"12,6";"11,0";"7,1";"16,9";"3,1";"3,2";"2,2";"15,9";"-";"6,4";"4,6";"6,6"
"Disponibilità a lavorare nelle seguenti aree geografiche: decisamente sì (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Provincia di residenza";"73,3";"78,5";"74,6";"67,6";"74,1";"69,8";"66,9";"77,5";"66,7";"71,4";"77,5";"73,7";"65,1"
"Sede degli studi";"70,9";"69,6";"73,3";"61,0";"70,4";"68,7";"68,9";"77,1";"55,1";"71,4";"72,5";"72,7";"66,9"
"Italia settentrionale";"34,5";"31,1";"40,1";"34,1";"35,0";"31,5";"33,1";"33,5";"40,6";"47,6";"27,1";"41,1";"34,6"
"Italia centrale";"39,8";"31,9";"43,0";"45,6";"40,0";"42,2";"35,6";"38,8";"43,5";"52,4";"32,2";"46,3";"42,3"
"Italia meridionale";"43,4";"47,4";"44,3";"45,1";"43,5";"40,7";"38,0";"47,1";"53,6";"52,4";"39,5";"51,9";"38,6"
"Stato europeo";"33,9";"37,8";"33,8";"35,7";"33,2";"27,6";"50,9";"34,8";"49,3";"42,9";"21,2";"39,7";"47,4"
"Stato extraeuropeo";"19,7";"28,9";"20,5";"20,3";"18,7";"15,8";"27,9";"21,1";"34,8";"33,3";"9,7";"26,1";"25,7"
"Disponibilità ad effettuare trasferte di lavoro (%)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Sì, anche con trasferimenti di residenza";"41,8";"35,6";"47,3";"45,6";"45,7";"44,2";"38,5";"37,4";"42,0";"57,1";"32,4";"43,8";"44,1"
"Sì, anche frequenti (senza cambi di residenza)";"31,3";"41,5";"32,0";"32,4";"29,8";"25,4";"31,4";"31,7";"39,1";"28,6";"30,0";"35,5";"32,4"
"Sì, ma solo in numero limitato";"22,1";"19,3";"17,2";"14,8";"20,6";"23,9";"25,9";"23,8";"13,0";"14,3";"31,5";"16,9";"20,2"
"Non disponibili a trasferte";"3,2";"2,2";"2,2";"4,9";"2,7";"5,3";"3,7";"2,2";"1,4";"-";"4,8";"2,0";"1,5"
